#      x          Cp  
     1.00000    0.42772
     0.99485    0.26751
     0.98822    0.21737
     0.98083    0.17475
     0.97270    0.14077
     0.96390    0.11106
     0.95456    0.08451
     0.94481    0.06037
     0.93475    0.03821
     0.92449    0.01768
     0.91410   -0.00149
     0.90361   -0.01950
     0.89307   -0.03654
     0.88249   -0.05278
     0.87188   -0.06831
     0.86126   -0.08326
     0.85062   -0.09771
     0.83998   -0.11174
     0.82933   -0.12540
     0.81868   -0.13876
     0.80802   -0.15185
     0.79736   -0.16473
     0.78670   -0.17742
     0.77604   -0.18997
     0.76537   -0.20239
     0.75471   -0.21472
     0.74404   -0.22697
     0.73337   -0.23918
     0.72271   -0.25135
     0.71204   -0.26352
     0.70137   -0.27569
     0.69071   -0.28788
     0.68004   -0.30012
     0.66938   -0.31240
     0.65872   -0.32475
     0.64806   -0.33719
     0.63740   -0.34971
     0.62675   -0.36235
     0.61610   -0.37511
     0.60546   -0.38799
     0.59481   -0.40101
     0.58418   -0.41420
     0.57354   -0.42754
     0.56292   -0.44107
     0.55229   -0.45478
     0.54168   -0.46869
     0.53107   -0.48283
     0.52047   -0.49718
     0.50987   -0.51177
     0.49929   -0.52661
     0.48871   -0.54171
     0.47814   -0.55709
     0.46758   -0.57276
     0.45703   -0.58872
     0.44649   -0.60502
     0.43596   -0.62164
     0.42545   -0.63862
     0.41495   -0.65596
     0.40446   -0.67369
     0.39398   -0.69183
     0.38352   -0.71040
     0.37308   -0.72942
     0.36265   -0.74891
     0.35224   -0.76891
     0.34185   -0.78944
     0.33148   -0.81053
     0.32114   -0.83222
     0.31081   -0.85455
     0.30051   -0.87755
     0.29024   -0.90127
     0.28000   -0.92577
     0.26979   -0.95109
     0.25961   -0.97731
     0.24946   -1.00450
     0.23936   -1.03272
     0.22930   -1.06207
     0.21929   -1.09268
     0.20932   -1.12461
     0.19942   -1.15802
     0.18958   -1.19305
     0.17981   -1.22985
     0.17013   -1.26863
     0.16053   -1.30957
     0.15105   -1.35291
     0.14169   -1.39890
     0.13248   -1.44779
     0.12344   -1.49989
     0.11461   -1.55544
     0.10603   -1.61470
     0.09773   -1.67790
     0.08976   -1.74517
     0.08218   -1.81656
     0.07501   -1.89201
     0.06830   -1.97135
     0.06206   -2.05437
     0.05630   -2.14076
     0.05101   -2.23025
     0.04617   -2.32257
     0.04174   -2.41747
     0.03771   -2.51484
     0.03403   -2.61447
     0.03067   -2.71632
     0.02760   -2.82024
     0.02478   -2.92612
     0.02220   -3.03383
     0.01983   -3.14292
     0.01764   -3.25304
     0.01563   -3.36378
     0.01377   -3.47389
     0.01206   -3.58222
     0.01049   -3.68730
     0.00903   -3.78665
     0.00770   -3.87692
     0.00648   -3.95496
     0.00537   -4.01526
     0.00437   -4.05205
     0.00348   -4.05905
     0.00268   -4.02829
     0.00200   -3.95339
     0.00141   -3.82801
     0.00093   -3.64908
     0.00055   -3.41838
     0.00028   -3.13879
     0.00010   -2.82371
     0.00001   -2.48621
     0.00001   -2.14301
     0.00010   -1.79171
     0.00028   -1.42988
     0.00055   -1.07249
     0.00093   -0.72994
     0.00141   -0.41289
     0.00200   -0.12840
     0.00268    0.11936
     0.00348    0.32940
     0.00437    0.50318
     0.00537    0.64355
     0.00648    0.75428
     0.00770    0.83931
     0.00903    0.90245
     0.01049    0.94723
     0.01206    0.97670
     0.01377    0.99349
     0.01563    0.99982
     0.01764    0.99753
     0.01983    0.98814
     0.02220    0.97290
     0.02478    0.95281
     0.02760    0.92873
     0.03067    0.90134
     0.03403    0.87123
     0.03771    0.83890
     0.04174    0.80479
     0.04617    0.76933
     0.05101    0.73292
     0.05630    0.69596
     0.06206    0.65888
     0.06830    0.62210
     0.07501    0.58602
     0.08218    0.55103
     0.08976    0.51744
     0.09773    0.48549
     0.10603    0.45534
     0.11461    0.42706
     0.12344    0.40067
     0.13248    0.37613
     0.14169    0.35335
     0.15105    0.33226
     0.16053    0.31273
     0.17013    0.29466
     0.17981    0.27794
     0.18958    0.26246
     0.19942    0.24814
     0.20932    0.23489
     0.21929    0.22260
     0.22930    0.21123
     0.23936    0.20069
     0.24946    0.19092
     0.25961    0.18186
     0.26979    0.17346
     0.28000    0.16568
     0.29024    0.15846
     0.30051    0.15177
     0.31081    0.14557
     0.32114    0.13984
     0.33148    0.13452
     0.34185    0.12960
     0.35224    0.12505
     0.36265    0.12084
     0.37308    0.11696
     0.38352    0.11338
     0.39398    0.11007
     0.40446    0.10704
     0.41495    0.10424
     0.42545    0.10168
     0.43596    0.09934
     0.44649    0.09720
     0.45703    0.09526
     0.46758    0.09348
     0.47814    0.09189
     0.48871    0.09045
     0.49929    0.08916
     0.50987    0.08801
     0.52047    0.08700
     0.53107    0.08612
     0.54168    0.08537
     0.55229    0.08472
     0.56292    0.08419
     0.57354    0.08377
     0.58418    0.08345
     0.59481    0.08324
     0.60546    0.08312
     0.61610    0.08310
     0.62675    0.08317
     0.63740    0.08334
     0.64806    0.08360
     0.65872    0.08396
     0.66938    0.08441
     0.68004    0.08496
     0.69071    0.08561
     0.70137    0.08636
     0.71204    0.08722
     0.72271    0.08819
     0.73337    0.08928
     0.74404    0.09049
     0.75471    0.09184
     0.76537    0.09333
     0.77604    0.09497
     0.78670    0.09678
     0.79736    0.09878
     0.80802    0.10098
     0.81868    0.10340
     0.82933    0.10607
     0.83998    0.10901
     0.85062    0.11227
     0.86126    0.11589
     0.87188    0.11992
     0.88249    0.12442
     0.89307    0.12947
     0.90361    0.13517
     0.91410    0.14164
     0.92449    0.14904
     0.93475    0.15756
     0.94481    0.16747
     0.95456    0.17910
     0.96390    0.19292
     0.97270    0.20965
     0.98083    0.23041
     0.98822    0.25882
     0.99485    0.29579
     1.00000    0.42772
