#      x          Cp  
     1.00000    0.43408
     0.99485    0.27181
     0.98822    0.22041
     0.98083    0.17630
     0.97270    0.14085
     0.96390    0.10965
     0.95456    0.08159
     0.94481    0.05595
     0.93475    0.03227
     0.92449    0.01025
     0.91410   -0.01041
     0.90361   -0.02990
     0.89307   -0.04841
     0.88249   -0.06610
     0.87188   -0.08309
     0.86126   -0.09949
     0.85062   -0.11539
     0.83998   -0.13087
     0.82933   -0.14599
     0.81868   -0.16081
     0.80802   -0.17537
     0.79736   -0.18972
     0.78670   -0.20391
     0.77604   -0.21795
     0.76537   -0.23189
     0.75471   -0.24575
     0.74404   -0.25956
     0.73337   -0.27333
     0.72271   -0.28710
     0.71204   -0.30088
     0.70137   -0.31470
     0.69071   -0.32856
     0.68004   -0.34249
     0.66938   -0.35650
     0.65872   -0.37061
     0.64806   -0.38484
     0.63740   -0.39920
     0.62675   -0.41371
     0.61610   -0.42837
     0.60546   -0.44320
     0.59481   -0.45823
     0.58418   -0.47346
     0.57354   -0.48890
     0.56292   -0.50458
     0.55229   -0.52050
     0.54168   -0.53668
     0.53107   -0.55314
     0.52047   -0.56989
     0.50987   -0.58695
     0.49929   -0.60433
     0.48871   -0.62205
     0.47814   -0.64013
     0.46758   -0.65859
     0.45703   -0.67743
     0.44649   -0.69671
     0.43596   -0.71641
     0.42545   -0.73658
     0.41495   -0.75724
     0.40446   -0.77840
     0.39398   -0.80011
     0.38352   -0.82238
     0.37308   -0.84526
     0.36265   -0.86877
     0.35224   -0.89296
     0.34185   -0.91785
     0.33148   -0.94352
     0.32114   -0.96998
     0.31081   -0.99732
     0.30051   -1.02558
     0.29024   -1.05481
     0.28000   -1.08512
     0.26979   -1.11657
     0.25961   -1.14925
     0.24946   -1.18327
     0.23936   -1.21874
     0.22930   -1.25578
     0.21929   -1.29457
     0.20932   -1.33522
     0.19942   -1.37796
     0.18958   -1.42299
     0.17981   -1.47053
     0.17013   -1.52089
     0.16053   -1.57432
     0.15105   -1.63121
     0.14169   -1.69192
     0.13248   -1.75682
     0.12344   -1.82640
     0.11461   -1.90105
     0.10603   -1.98120
     0.09773   -2.06723
     0.08976   -2.15940
     0.08218   -2.25791
     0.07501   -2.36276
     0.06830   -2.47382
     0.06206   -2.59091
     0.05630   -2.71369
     0.05101   -2.84190
     0.04617   -2.97526
     0.04174   -3.11355
     0.03771   -3.25672
     0.03403   -3.40463
     0.03067   -3.55737
     0.02760   -3.71494
     0.02478   -3.87740
     0.02220   -4.04482
     0.01983   -4.21693
     0.01764   -4.39354
     0.01563   -4.57451
     0.01377   -4.75856
     0.01206   -4.94462
     0.01049   -5.13118
     0.00903   -5.31540
     0.00770   -5.49325
     0.00648   -5.66083
     0.00537   -5.81097
     0.00437   -5.93582
     0.00348   -6.02643
     0.00268   -6.07100
     0.00200   -6.05920
     0.00141   -5.97994
     0.00093   -5.82581
     0.00055   -5.59574
     0.00028   -5.28989
     0.00010   -4.92385
     0.00001   -4.51286
     0.00001   -4.08136
     0.00010   -3.62633
     0.00028   -3.14131
     0.00055   -2.64630
     0.00093   -2.15563
     0.00141   -1.68617
     0.00200   -1.25011
     0.00268   -0.85624
     0.00348   -0.50892
     0.00437   -0.20861
     0.00537    0.04646
     0.00648    0.26000
     0.00770    0.43639
     0.00903    0.58012
     0.01049    0.69573
     0.01206    0.78722
     0.01377    0.85819
     0.01563    0.91177
     0.01764    0.95062
     0.01983    0.97699
     0.02220    0.99276
     0.02478    0.99951
     0.02760    0.99858
     0.03067    0.99105
     0.03403    0.97788
     0.03771    0.95988
     0.04174    0.93774
     0.04617    0.91213
     0.05101    0.88364
     0.05630    0.85287
     0.06206    0.82042
     0.06830    0.78688
     0.07501    0.75283
     0.08218    0.71882
     0.08976    0.68533
     0.09773    0.65277
     0.10603    0.62143
     0.11461    0.59151
     0.12344    0.56314
     0.13248    0.53636
     0.14169    0.51116
     0.15105    0.48752
     0.16053    0.46536
     0.17013    0.44461
     0.17981    0.42519
     0.18958    0.40700
     0.19942    0.38998
     0.20932    0.37404
     0.21929    0.35911
     0.22930    0.34512
     0.23936    0.33200
     0.24946    0.31970
     0.25961    0.30815
     0.26979    0.29731
     0.28000    0.28713
     0.29024    0.27756
     0.30051    0.26857
     0.31081    0.26011
     0.32114    0.25216
     0.33148    0.24468
     0.34185    0.23763
     0.35224    0.23100
     0.36265    0.22476
     0.37308    0.21887
     0.38352    0.21333
     0.39398    0.20811
     0.40446    0.20319
     0.41495    0.19855
     0.42545    0.19418
     0.43596    0.19006
     0.44649    0.18618
     0.45703    0.18252
     0.46758    0.17906
     0.47814    0.17581
     0.48871    0.17275
     0.49929    0.16986
     0.50987    0.16715
     0.52047    0.16459
     0.53107    0.16218
     0.54168    0.15993
     0.55229    0.15781
     0.56292    0.15582
     0.57354    0.15396
     0.58418    0.15223
     0.59481    0.15061
     0.60546    0.14911
     0.61610    0.14772
     0.62675    0.14645
     0.63740    0.14528
     0.64806    0.14421
     0.65872    0.14326
     0.66938    0.14241
     0.68004    0.14166
     0.69071    0.14103
     0.70137    0.14050
     0.71204    0.14009
     0.72271    0.13980
     0.73337    0.13963
     0.74404    0.13958
     0.75471    0.13968
     0.76537    0.13991
     0.77604    0.14030
     0.78670    0.14085
     0.79736    0.14158
     0.80802    0.14251
     0.81868    0.14365
     0.82933    0.14503
     0.83998    0.14668
     0.85062    0.14862
     0.86126    0.15090
     0.87188    0.15357
     0.88249    0.15668
     0.89307    0.16032
     0.90361    0.16456
     0.91410    0.16954
     0.92449    0.17540
     0.93475    0.18234
     0.94481    0.19060
     0.95456    0.20053
     0.96390    0.21257
     0.97270    0.22745
     0.98083    0.24629
     0.98822    0.27253
     0.99485    0.30737
     1.00000    0.43408
