#      x          Cp  
     1.00000    0.44629
     0.99485    0.28178
     0.98822    0.22877
     0.98083    0.18264
     0.97270    0.14518
     0.96390    0.11188
     0.95456    0.08170
     0.94481    0.05392
     0.93475    0.02809
     0.92449    0.00391
     0.91410   -0.01889
     0.90361   -0.04052
     0.89307   -0.06117
     0.88249   -0.08099
     0.87188   -0.10010
     0.86126   -0.11863
     0.85062   -0.13666
     0.83998   -0.15427
     0.82933   -0.17154
     0.81868   -0.18852
     0.80802   -0.20525
     0.79736   -0.22180
     0.78670   -0.23819
     0.77604   -0.25447
     0.76537   -0.27068
     0.75471   -0.28682
     0.74404   -0.30295
     0.73337   -0.31908
     0.72271   -0.33524
     0.71204   -0.35144
     0.70137   -0.36773
     0.69071   -0.38410
     0.68004   -0.40059
     0.66938   -0.41721
     0.65872   -0.43398
     0.64806   -0.45093
     0.63740   -0.46806
     0.62675   -0.48540
     0.61610   -0.50297
     0.60546   -0.52077
     0.59481   -0.53884
     0.58418   -0.55719
     0.57354   -0.57584
     0.56292   -0.59481
     0.55229   -0.61410
     0.54168   -0.63376
     0.53107   -0.65380
     0.52047   -0.67423
     0.50987   -0.69508
     0.49929   -0.71638
     0.48871   -0.73813
     0.47814   -0.76039
     0.46758   -0.78316
     0.45703   -0.80646
     0.44649   -0.83036
     0.43596   -0.85485
     0.42545   -0.87998
     0.41495   -0.90579
     0.40446   -0.93231
     0.39398   -0.95958
     0.38352   -0.98765
     0.37308   -1.01657
     0.36265   -1.04638
     0.35224   -1.07715
     0.34185   -1.10892
     0.33148   -1.14179
     0.32114   -1.17580
     0.31081   -1.21106
     0.30051   -1.24764
     0.29024   -1.28564
     0.28000   -1.32519
     0.26979   -1.36639
     0.25961   -1.40939
     0.24946   -1.45435
     0.23936   -1.50143
     0.22930   -1.55082
     0.21929   -1.60278
     0.20932   -1.65752
     0.19942   -1.71535
     0.18958   -1.77659
     0.17981   -1.84160
     0.17013   -1.91083
     0.16053   -1.98470
     0.15105   -2.06380
     0.14169   -2.14871
     0.13248   -2.24004
     0.12344   -2.33855
     0.11461   -2.44493
     0.10603   -2.55988
     0.09773   -2.68410
     0.08976   -2.81812
     0.08218   -2.96234
     0.07501   -3.11697
     0.06830   -3.28197
     0.06206   -3.45724
     0.05630   -3.64245
     0.05101   -3.83736
     0.04617   -4.04175
     0.04174   -4.25547
     0.03771   -4.47863
     0.03403   -4.71126
     0.03067   -4.95376
     0.02760   -5.20641
     0.02478   -5.46966
     0.02220   -5.74403
     0.01983   -6.02961
     0.01764   -6.32668
     0.01563   -6.63565
     0.01377   -6.95541
     0.01206   -7.28518
     0.01049   -7.62362
     0.00903   -7.96750
     0.00770   -8.31185
     0.00648   -8.65179
     0.00537   -8.97747
     0.00437   -9.27764
     0.00348   -9.53887
     0.00268   -9.74263
     0.00200   -9.87145
     0.00141   -9.90547
     0.00093   -9.82892
     0.00055   -9.63467
     0.00028   -9.31686
     0.00010   -8.89385
     0.00001   -8.38335
     0.00001   -7.82377
     0.00010   -7.21117
     0.00028   -6.53047
     0.00055   -5.80969
     0.00093   -5.06926
     0.00141   -4.33710
     0.00200   -3.63479
     0.00268   -2.97986
     0.00348   -2.38349
     0.00437   -1.85031
     0.00537   -1.38127
     0.00648   -0.97336
     0.00770   -0.62201
     0.00903   -0.32189
     0.01049   -0.06699
     0.01206    0.14815
     0.01377    0.32867
     0.01563    0.47923
     0.01764    0.60389
     0.01983    0.70612
     0.02220    0.78895
     0.02478    0.85496
     0.02760    0.90631
     0.03067    0.94486
     0.03403    0.97219
     0.03771    0.98966
     0.04174    0.99844
     0.04617    0.99960
     0.05101    0.99410
     0.05630    0.98284
     0.06206    0.96674
     0.06830    0.94666
     0.07501    0.92347
     0.08218    0.89802
     0.08976    0.87108
     0.09773    0.84332
     0.10603    0.81533
     0.11461    0.78755
     0.12344    0.76032
     0.13248    0.73387
     0.14169    0.70836
     0.15105    0.68388
     0.16053    0.66046
     0.17013    0.63812
     0.17981    0.61686
     0.18958    0.59663
     0.19942    0.57740
     0.20932    0.55914
     0.21929    0.54179
     0.22930    0.52531
     0.23936    0.50965
     0.24946    0.49478
     0.25961    0.48064
     0.26979    0.46720
     0.28000    0.45441
     0.29024    0.44225
     0.30051    0.43067
     0.31081    0.41964
     0.32114    0.40914
     0.33148    0.39912
     0.34185    0.38957
     0.35224    0.38046
     0.36265    0.37176
     0.37308    0.36345
     0.38352    0.35551
     0.39398    0.34793
     0.40446    0.34067
     0.41495    0.33373
     0.42545    0.32708
     0.43596    0.32071
     0.44649    0.31461
     0.45703    0.30876
     0.46758    0.30315
     0.47814    0.29777
     0.48871    0.29260
     0.49929    0.28763
     0.50987    0.28287
     0.52047    0.27828
     0.53107    0.27387
     0.54168    0.26964
     0.55229    0.26556
     0.56292    0.26164
     0.57354    0.25786
     0.58418    0.25423
     0.59481    0.25073
     0.60546    0.24737
     0.61610    0.24414
     0.62675    0.24103
     0.63740    0.23805
     0.64806    0.23518
     0.65872    0.23243
     0.66938    0.22980
     0.68004    0.22728
     0.69071    0.22488
     0.70137    0.22260
     0.71204    0.22043
     0.72271    0.21839
     0.73337    0.21647
     0.74404    0.21467
     0.75471    0.21301
     0.76537    0.21149
     0.77604    0.21012
     0.78670    0.20890
     0.79736    0.20785
     0.80802    0.20699
     0.81868    0.20632
     0.82933    0.20587
     0.83998    0.20566
     0.85062    0.20572
     0.86126    0.20609
     0.87188    0.20681
     0.88249    0.20793
     0.89307    0.20952
     0.90361    0.21166
     0.91410    0.21447
     0.92449    0.21809
     0.93475    0.22270
     0.94481    0.22854
     0.95456    0.23594
     0.96390    0.24536
     0.97270    0.25748
     0.98083    0.27340
     0.98822    0.29636
     0.99485    0.32789
     1.00000    0.44629
