#      x          Cp  
     1.00000    0.45614
     0.99485    0.29071
     0.98822    0.23681
     0.98083    0.18950
     0.97270    0.15083
     0.96390    0.11626
     0.95456    0.08477
     0.94481    0.05564
     0.93475    0.02846
     0.92449    0.00292
     0.91410   -0.02124
     0.90361   -0.04423
     0.89307   -0.06625
     0.88249   -0.08743
     0.87188   -0.10791
     0.86126   -0.12782
     0.85062   -0.14723
     0.83998   -0.16623
     0.82933   -0.18489
     0.81868   -0.20327
     0.80802   -0.22143
     0.79736   -0.23941
     0.78670   -0.25726
     0.77604   -0.27500
     0.76537   -0.29270
     0.75471   -0.31035
     0.74404   -0.32801
     0.73337   -0.34569
     0.72271   -0.36343
     0.71204   -0.38124
     0.70137   -0.39916
     0.69071   -0.41720
     0.68004   -0.43540
     0.66938   -0.45375
     0.65872   -0.47230
     0.64806   -0.49106
     0.63740   -0.51004
     0.62675   -0.52928
     0.61610   -0.54879
     0.60546   -0.56859
     0.59481   -0.58870
     0.58418   -0.60915
     0.57354   -0.62996
     0.56292   -0.65114
     0.55229   -0.67272
     0.54168   -0.69472
     0.53107   -0.71718
     0.52047   -0.74010
     0.50987   -0.76353
     0.49929   -0.78748
     0.48871   -0.81198
     0.47814   -0.83708
     0.46758   -0.86279
     0.45703   -0.88914
     0.44649   -0.91619
     0.43596   -0.94395
     0.42545   -0.97249
     0.41495   -1.00183
     0.40446   -1.03203
     0.39398   -1.06313
     0.38352   -1.09519
     0.37308   -1.12827
     0.36265   -1.16243
     0.35224   -1.19776
     0.34185   -1.23430
     0.33148   -1.27216
     0.32114   -1.31142
     0.31081   -1.35219
     0.30051   -1.39458
     0.29024   -1.43870
     0.28000   -1.48470
     0.26979   -1.53274
     0.25961   -1.58298
     0.24946   -1.63563
     0.23936   -1.69089
     0.22930   -1.74900
     0.21929   -1.81028
     0.20932   -1.87500
     0.19942   -1.94355
     0.18958   -2.01633
     0.17981   -2.09380
     0.17013   -2.17651
     0.16053   -2.26504
     0.15105   -2.36009
     0.14169   -2.46243
     0.13248   -2.57285
     0.12344   -2.69232
     0.11461   -2.82172
     0.10603   -2.96203
     0.09773   -3.11415
     0.08976   -3.27883
     0.08218   -3.45667
     0.07501   -3.64802
     0.06830   -3.85294
     0.06206   -4.07141
     0.05630   -4.30314
     0.05101   -4.54794
     0.04617   -4.80564
     0.04174   -5.07617
     0.03771   -5.35978
     0.03403   -5.65667
     0.03067   -5.96749
     0.02760   -6.29277
     0.02478   -6.63332
     0.02220   -6.99002
     0.01983   -7.36331
     0.01764   -7.75390
     0.01563   -8.16266
     0.01377   -8.58873
     0.01206   -9.03167
     0.01049   -9.49036
     0.00903   -9.96144
     0.00770  -10.43938
     0.00648  -10.91871
     0.00537  -11.38771
     0.00437  -11.83270
     0.00348  -12.23694
     0.00268  -12.57679
     0.00200  -12.82932
     0.00141  -12.96769
     0.00093  -12.96938
     0.00055  -12.82208
     0.00028  -12.51464
     0.00010  -12.06693
     0.00001  -11.49774
     0.00001  -10.85632
     0.00010  -10.13816
     0.00028   -9.32076
     0.00055   -8.43771
     0.00093   -7.51363
     0.00141   -6.58497
     0.00200   -5.68056
     0.00268   -4.82500
     0.00348   -4.03510
     0.00437   -3.31914
     0.00537   -2.68059
     0.00648   -2.11733
     0.00770   -1.62493
     0.00903   -1.19768
     0.01049   -0.82860
     0.01206   -0.51123
     0.01377   -0.23938
     0.01563   -0.00725
     0.01764    0.19025
     0.01983    0.35749
     0.02220    0.49839
     0.02478    0.61625
     0.02760    0.71391
     0.03067    0.79379
     0.03403    0.85797
     0.03771    0.90823
     0.04174    0.94612
     0.04617    0.97299
     0.05101    0.99010
     0.05630    0.99858
     0.06206    0.99955
     0.06830    0.99411
     0.07501    0.98333
     0.08218    0.96826
     0.08976    0.94989
     0.09773    0.92914
     0.10603    0.90679
     0.11461    0.88349
     0.12344    0.85976
     0.13248    0.83599
     0.14169    0.81247
     0.15105    0.78942
     0.16053    0.76697
     0.17013    0.74521
     0.17981    0.72420
     0.18958    0.70396
     0.19942    0.68451
     0.20932    0.66583
     0.21929    0.64792
     0.22930    0.63075
     0.23936    0.61430
     0.24946    0.59855
     0.25961    0.58346
     0.26979    0.56900
     0.28000    0.55516
     0.29024    0.54189
     0.30051    0.52918
     0.31081    0.51699
     0.32114    0.50531
     0.33148    0.49410
     0.34185    0.48335
     0.35224    0.47302
     0.36265    0.46310
     0.37308    0.45357
     0.38352    0.44441
     0.39398    0.43560
     0.40446    0.42712
     0.41495    0.41896
     0.42545    0.41110
     0.43596    0.40353
     0.44649    0.39623
     0.45703    0.38919
     0.46758    0.38239
     0.47814    0.37583
     0.48871    0.36949
     0.49929    0.36336
     0.50987    0.35744
     0.52047    0.35171
     0.53107    0.34616
     0.54168    0.34079
     0.55229    0.33559
     0.56292    0.33055
     0.57354    0.32567
     0.58418    0.32094
     0.59481    0.31635
     0.60546    0.31190
     0.61610    0.30758
     0.62675    0.30339
     0.63740    0.29933
     0.64806    0.29539
     0.65872    0.29158
     0.66938    0.28788
     0.68004    0.28430
     0.69071    0.28084
     0.70137    0.27750
     0.71204    0.27427
     0.72271    0.27116
     0.73337    0.26818
     0.74404    0.26532
     0.75471    0.26259
     0.76537    0.25999
     0.77604    0.25754
     0.78670    0.25523
     0.79736    0.25308
     0.80802    0.25110
     0.81868    0.24930
     0.82933    0.24772
     0.83998    0.24635
     0.85062    0.24523
     0.86126    0.24439
     0.87188    0.24388
     0.88249    0.24373
     0.89307    0.24403
     0.90361    0.24483
     0.91410    0.24625
     0.92449    0.24843
     0.93475    0.25153
     0.94481    0.25581
     0.95456    0.26157
     0.96390    0.26926
     0.97270    0.27956
     0.98083    0.29355
     0.98822    0.31429
     0.99485    0.34357
     1.00000    0.45614
