#      x          Cp  
     1.00000    0.41714
     0.99485    0.26749
     0.98822    0.22276
     0.98083    0.18621
     0.97270    0.15801
     0.96390    0.13406
     0.95456    0.11322
     0.94481    0.09476
     0.93475    0.07819
     0.92449    0.06318
     0.91410    0.04946
     0.90361    0.03682
     0.89307    0.02507
     0.88249    0.01409
     0.87188    0.00376
     0.86126   -0.00602
     0.85062   -0.01533
     0.83998   -0.02422
     0.82933   -0.03276
     0.81868   -0.04099
     0.80802   -0.04895
     0.79736   -0.05668
     0.78670   -0.06420
     0.77604   -0.07153
     0.76537   -0.07872
     0.75471   -0.08576
     0.74404   -0.09268
     0.73337   -0.09950
     0.72271   -0.10623
     0.71204   -0.11288
     0.70137   -0.11947
     0.69071   -0.12600
     0.68004   -0.13249
     0.66938   -0.13894
     0.65872   -0.14536
     0.64806   -0.15177
     0.63740   -0.15815
     0.62675   -0.16454
     0.61610   -0.17091
     0.60546   -0.17729
     0.59481   -0.18368
     0.58418   -0.19007
     0.57354   -0.19649
     0.56292   -0.20291
     0.55229   -0.20936
     0.54168   -0.21583
     0.53107   -0.22233
     0.52047   -0.22885
     0.50987   -0.23540
     0.49929   -0.24198
     0.48871   -0.24859
     0.47814   -0.25523
     0.46758   -0.26191
     0.45703   -0.26860
     0.44649   -0.27534
     0.43596   -0.28210
     0.42545   -0.28890
     0.41495   -0.29571
     0.40446   -0.30256
     0.39398   -0.30942
     0.38352   -0.31631
     0.37308   -0.32321
     0.36265   -0.33012
     0.35224   -0.33705
     0.34185   -0.34398
     0.33148   -0.35091
     0.32114   -0.35783
     0.31081   -0.36475
     0.30051   -0.37164
     0.29024   -0.37851
     0.28000   -0.38535
     0.26979   -0.39214
     0.25961   -0.39887
     0.24946   -0.40555
     0.23936   -0.41214
     0.22930   -0.41864
     0.21929   -0.42504
     0.20932   -0.43130
     0.19942   -0.43743
     0.18958   -0.44338
     0.17981   -0.44913
     0.17013   -0.45466
     0.16053   -0.45991
     0.15105   -0.46486
     0.14169   -0.46946
     0.13248   -0.47362
     0.12344   -0.47731
     0.11461   -0.48042
     0.10603   -0.48286
     0.09773   -0.48454
     0.08976   -0.48534
     0.08218   -0.48515
     0.07501   -0.48384
     0.06830   -0.48129
     0.06206   -0.47743
     0.05630   -0.47213
     0.05101   -0.46531
     0.04617   -0.45688
     0.04174   -0.44673
     0.03771   -0.43476
     0.03403   -0.42080
     0.03067   -0.40470
     0.02760   -0.38626
     0.02478   -0.36523
     0.02220   -0.34137
     0.01983   -0.31429
     0.01764   -0.28365
     0.01563   -0.24908
