#      x          Cp  
     1.00000    0.42509
     0.99485    0.29066
     0.98822    0.25264
     0.98083    0.22317
     0.97270    0.20145
     0.96390    0.18379
     0.95456    0.16909
     0.94481    0.15660
     0.93475    0.14586
     0.92449    0.13654
     0.91410    0.12836
     0.90361    0.12113
     0.89307    0.11469
     0.88249    0.10892
     0.87188    0.10372
     0.86126    0.09899
     0.85062    0.09469
     0.83998    0.09075
     0.82933    0.08714
     0.81868    0.08381
     0.80802    0.08073
     0.79736    0.07788
     0.78670    0.07523
     0.77604    0.07277
     0.76537    0.07047
     0.75471    0.06833
     0.74404    0.06633
     0.73337    0.06447
     0.72271    0.06272
     0.71204    0.06109
     0.70137    0.05957
     0.69071    0.05816
     0.68004    0.05683
     0.66938    0.05561
     0.65872    0.05447
     0.64806    0.05343
     0.63740    0.05247
     0.62675    0.05159
     0.61610    0.05081
     0.60546    0.05011
     0.59481    0.04950
     0.58418    0.04897
     0.57354    0.04853
     0.56292    0.04819
     0.55229    0.04795
     0.54168    0.04780
     0.53107    0.04776
     0.52047    0.04783
     0.50987    0.04801
     0.49929    0.04831
     0.48871    0.04874
     0.47814    0.04930
     0.46758    0.05000
     0.45703    0.05086
     0.44649    0.05188
     0.43596    0.05307
     0.42545    0.05444
     0.41495    0.05601
     0.40446    0.05779
     0.39398    0.05980
     0.38352    0.06204
     0.37308    0.06454
     0.36265    0.06731
     0.35224    0.07038
     0.34185    0.07377
     0.33148    0.07749
     0.32114    0.08159
     0.31081    0.08607
     0.30051    0.09098
     0.29024    0.09635
     0.28000    0.10221
     0.26979    0.10860
     0.25961    0.11557
     0.24946    0.12315
     0.23936    0.13142
     0.22930    0.14041
     0.21929    0.15019
     0.20932    0.16085
     0.19942    0.17243
     0.18958    0.18504
     0.17981    0.19876
     0.17013    0.21368
     0.16053    0.22993
     0.15105    0.24761
     0.14169    0.26684
     0.13248    0.28775
     0.12344    0.31044
     0.11461    0.33502
     0.10603    0.36156
     0.09773    0.39009
     0.08976    0.42058
     0.08218    0.45295
     0.07501    0.48701
     0.06830    0.52253
     0.06206    0.55921
     0.05630    0.59671
     0.05101    0.63470
     0.04617    0.67283
     0.04174    0.71080
     0.03771    0.74827
     0.03403    0.78493
     0.03067    0.82046
     0.02760    0.85449
     0.02478    0.88658
     0.02220    0.91623
     0.01983    0.94281
     0.01764    0.96555
     0.01563    0.98350
     0.01377    0.99547
     0.01206    1.00000
     0.01049    0.99529
     0.00903    0.97917
     0.00770    0.94906
     0.00648    0.90192
     0.00537    0.83436
     0.00437    0.74273
     0.00348    0.62333
     0.00268    0.47304
     0.00200    0.28966
     0.00141    0.07286
     0.00093   -0.17511
     0.00055   -0.44941
     0.00028   -0.74214
     0.00010   -1.04478
     0.00001   -1.34482
     0.00001   -1.64317
     0.00010   -1.94192
     0.00028   -2.22772
     0.00055   -2.48874
     0.00093   -2.71276
     0.00141   -2.89597
     0.00200   -3.03548
     0.00268   -3.13259
     0.00348   -3.19162
     0.00437   -3.21723
     0.00537   -3.21563
     0.00648   -3.19190
     0.00770   -3.15085
     0.00903   -3.09716
     0.01049   -3.03360
     0.01206   -2.96315
     0.01377   -2.88810
     0.01563   -2.80986
     0.01764   -2.72955
     0.01983   -2.64841
     0.02220   -2.56690
     0.02478   -2.48545
     0.02760   -2.40457
     0.03067   -2.32444
     0.03403   -2.24525
     0.03771   -2.16720
     0.04174   -2.09038
     0.04617   -2.01501
     0.05101   -1.94124
     0.05630   -1.86931
     0.06206   -1.79948
     0.06830   -1.73200
     0.07501   -1.66719
     0.08218   -1.60524
     0.08976   -1.54635
     0.09773   -1.49059
     0.10603   -1.43797
     0.11461   -1.38841
     0.12344   -1.34175
     0.13248   -1.29782
     0.14169   -1.25643
     0.15105   -1.21733
     0.16053   -1.18036
     0.17013   -1.14531
     0.17981   -1.11199
     0.18958   -1.08027
     0.19942   -1.04997
     0.20932   -1.02099
     0.21929   -0.99320
     0.22930   -0.96650
     0.23936   -0.94081
     0.24946   -0.91604
     0.25961   -0.89212
     0.26979   -0.86900
     0.28000   -0.84660
     0.29024   -0.82489
     0.30051   -0.80383
     0.31081   -0.78336
     0.32114   -0.76344
     0.33148   -0.74406
     0.34185   -0.72517
     0.35224   -0.70676
     0.36265   -0.68878
     0.37308   -0.67123
     0.38352   -0.65408
     0.39398   -0.63732
     0.40446   -0.62091
     0.41495   -0.60485
     0.42545   -0.58911
     0.43596   -0.57369
     0.44649   -0.55857
     0.45703   -0.54373
     0.46758   -0.52917
     0.47814   -0.51487
     0.48871   -0.50081
     0.49929   -0.48699
     0.50987   -0.47339
     0.52047   -0.46002
     0.53107   -0.44684
     0.54168   -0.43385
     0.55229   -0.42105
     0.56292   -0.40843
     0.57354   -0.39596
     0.58418   -0.38365
     0.59481   -0.37147
     0.60546   -0.35943
     0.61610   -0.34752
     0.62675   -0.33571
     0.63740   -0.32399
     0.64806   -0.31238
     0.65872   -0.30083
     0.66938   -0.28935
     0.68004   -0.27792
     0.69071   -0.26653
     0.70137   -0.25517
     0.71204   -0.24381
     0.72271   -0.23245
     0.73337   -0.22107
     0.74404   -0.20965
     0.75471   -0.19816
     0.76537   -0.18661
     0.77604   -0.17494
     0.78670   -0.16315
     0.79736   -0.15120
     0.80802   -0.13906
     0.81868   -0.12671
     0.82933   -0.11408
     0.83998   -0.10115
     0.85062   -0.08785
     0.86126   -0.07413
     0.87188   -0.05992
     0.88249   -0.04512
