#      x          Cp  
     1.00000    0.41710
     0.99485    0.26839
     0.98822    0.22409
     0.98083    0.18803
     0.97270    0.16026
     0.96390    0.13675
     0.95456    0.11635
     0.94481    0.09830
     0.93475    0.08214
     0.92449    0.06754
     0.91410    0.05422
     0.90361    0.04196
     0.89307    0.03061
     0.88249    0.02000
     0.87188    0.01004
     0.86126    0.00063
     0.85062   -0.00831
     0.83998   -0.01684
     0.82933   -0.02502
     0.81868   -0.03289
     0.80802   -0.04049
     0.79736   -0.04785
     0.78670   -0.05501
     0.77604   -0.06198
     0.76537   -0.06880
     0.75471   -0.07548
     0.74404   -0.08203
     0.73337   -0.08848
     0.72271   -0.09483
     0.71204   -0.10110
     0.70137   -0.10731
     0.69071   -0.11345
     0.68004   -0.11955
     0.66938   -0.12560
     0.65872   -0.13162
     0.64806   -0.13762
     0.63740   -0.14359
     0.62675   -0.14955
     0.61610   -0.15550
     0.60546   -0.16143
     0.59481   -0.16737
     0.58418   -0.17332
     0.57354   -0.17927
     0.56292   -0.18522
     0.55229   -0.19118
     0.54168   -0.19716
     0.53107   -0.20315
     0.52047   -0.20916
     0.50987   -0.21518
     0.49929   -0.22122
     0.48871   -0.22727
     0.47814   -0.23334
     0.46758   -0.23943
     0.45703   -0.24552
     0.44649   -0.25164
     0.43596   -0.25776
     0.42545   -0.26390
     0.41495   -0.27004
     0.40446   -0.27618
     0.39398   -0.28233
     0.38352   -0.28847
     0.37308   -0.29460
     0.36265   -0.30072
     0.35224   -0.30682
     0.34185   -0.31289
     0.33148   -0.31894
     0.32114   -0.32494
     0.31081   -0.33090
     0.30051   -0.33680
     0.29024   -0.34262
     0.28000   -0.34838
     0.26979   -0.35404
     0.25961   -0.35959
     0.24946   -0.36502
     0.23936   -0.37032
     0.22930   -0.37545
     0.21929   -0.38041
     0.20932   -0.38516
     0.19942   -0.38969
     0.18958   -0.39395
     0.17981   -0.39790
     0.17013   -0.40153
     0.16053   -0.40475
     0.15105   -0.40754
     0.14169   -0.40983
     0.13248   -0.41152
     0.12344   -0.41256
     0.11461   -0.41285
     0.10603   -0.41226
     0.09773   -0.41072
     0.08976   -0.40807
     0.08218   -0.40423
     0.07501   -0.39908
     0.06830   -0.39252
     0.06206   -0.38447
     0.05630   -0.37485
     0.05101   -0.36360
     0.04617   -0.35065
     0.04174   -0.33590
     0.03771   -0.31928
     0.03403   -0.30063
     0.03067   -0.27983
     0.02760   -0.25668
     0.02478   -0.23097
     0.02220   -0.20247
     0.01983   -0.17085
     0.01764   -0.13579
     0.01563   -0.09699
     0.01377   -0.05397
     0.01206   -0.00633
     0.01049    0.04627
     0.00903    0.10428
     0.00770    0.16806
     0.00648    0.23765
     0.00537    0.31308
     0.00437    0.39388
     0.00348    0.47905
     0.00268    0.56703
     0.00200    0.65537
     0.00141    0.74095
     0.00093    0.81994
     0.00055    0.88828
     0.00028    0.94240
     0.00010    0.97938
     0.00001    0.99774
     0.00001    0.99774
     0.00010    0.97938
     0.00028    0.94240
     0.00055    0.88828
     0.00093    0.81994
     0.00141    0.74095
     0.00200    0.65537
     0.00268    0.56703
     0.00348    0.47905
     0.00437    0.39388
     0.00537    0.31308
     0.00648    0.23765
     0.00770    0.16806
     0.00903    0.10428
     0.01049    0.04627
     0.01206   -0.00633
     0.01377   -0.05397
     0.01563   -0.09699
     0.01764   -0.13579
     0.01983   -0.17085
     0.02220   -0.20247
     0.02478   -0.23097
     0.02760   -0.25668
     0.03067   -0.27983
     0.03403   -0.30063
     0.03771   -0.31928
     0.04174   -0.33590
     0.04617   -0.35065
     0.05101   -0.36360
     0.05630   -0.37485
     0.06206   -0.38447
     0.06830   -0.39252
     0.07501   -0.39908
     0.08218   -0.40423
     0.08976   -0.40807
     0.09773   -0.41072
     0.10603   -0.41226
     0.11461   -0.41285
     0.12344   -0.41256
     0.13248   -0.41152
     0.14169   -0.40983
     0.15105   -0.40754
     0.16053   -0.40475
     0.17013   -0.40153
     0.17981   -0.39790
     0.18958   -0.39395
     0.19942   -0.38969
     0.20932   -0.38516
     0.21929   -0.38041
     0.22930   -0.37545
     0.23936   -0.37032
     0.24946   -0.36502
     0.25961   -0.35959
     0.26979   -0.35404
     0.28000   -0.34838
     0.29024   -0.34262
     0.30051   -0.33680
     0.31081   -0.33090
     0.32114   -0.32494
     0.33148   -0.31894
     0.34185   -0.31289
     0.35224   -0.30682
     0.36265   -0.30072
     0.37308   -0.29460
     0.38352   -0.28847
     0.39398   -0.28233
     0.40446   -0.27618
     0.41495   -0.27004
     0.42545   -0.26390
     0.43596   -0.25776
     0.44649   -0.25164
     0.45703   -0.24552
     0.46758   -0.23943
     0.47814   -0.23334
     0.48871   -0.22727
     0.49929   -0.22122
     0.50987   -0.21518
     0.52047   -0.20916
     0.53107   -0.20315
     0.54168   -0.19716
     0.55229   -0.19118
     0.56292   -0.18522
     0.57354   -0.17927
     0.58418   -0.17332
     0.59481   -0.16737
     0.60546   -0.16143
     0.61610   -0.15550
     0.62675   -0.14955
     0.63740   -0.14359
     0.64806   -0.13762
     0.65872   -0.13162
     0.66938   -0.12560
     0.68004   -0.11955
     0.69071   -0.11345
     0.70137   -0.10731
     0.71204   -0.10110
     0.72271   -0.09483
     0.73337   -0.08848
     0.74404   -0.08203
     0.75471   -0.07548
     0.76537   -0.06880
     0.77604   -0.06198
     0.78670   -0.05501
     0.79736   -0.04785
     0.80802   -0.04049
     0.81868   -0.03289
     0.82933   -0.02502
     0.83998   -0.01684
     0.85062   -0.00831
     0.86126    0.00063
     0.87188    0.01004
     0.88249    0.02000
     0.89307    0.03061
     0.90361    0.04196
     0.91410    0.05422
     0.92449    0.06754
     0.93475    0.08214
     0.94481    0.09830
     0.95456    0.11635
     0.96390    0.13675
     0.97270    0.16026
     0.98083    0.18803
     0.98822    0.22409
     0.99485    0.26839
     1.00000    0.41710
