#      x          Cp  
     1.00000    0.43780
     0.99485    0.31379
     0.98822    0.28005
     0.98083    0.25490
     0.97270    0.23703
     0.96390    0.22307
     0.95456    0.21191
     0.94481    0.20283
     0.93475    0.19538
     0.92449    0.18923
     0.91410    0.18413
     0.90361    0.17988
     0.89307    0.17635
     0.88249    0.17340
     0.87188    0.17097
     0.86126    0.16896
     0.85062    0.16733
     0.83998    0.16603
     0.82933    0.16502
     0.81868    0.16426
     0.80802    0.16374
     0.79736    0.16343
     0.78670    0.16330
     0.77604    0.16336
     0.76537    0.16357
     0.75471    0.16394
     0.74404    0.16445
     0.73337    0.16510
     0.72271    0.16587
     0.71204    0.16677
     0.70137    0.16779
     0.69071    0.16892
     0.68004    0.17016
     0.66938    0.17152
     0.65872    0.17299
     0.64806    0.17457
     0.63740    0.17626
     0.62675    0.17806
     0.61610    0.17997
     0.60546    0.18201
     0.59481    0.18416
     0.58418    0.18643
     0.57354    0.18883
     0.56292    0.19136
     0.55229    0.19402
     0.54168    0.19683
     0.53107    0.19978
     0.52047    0.20289
     0.50987    0.20617
     0.49929    0.20961
     0.48871    0.21323
     0.47814    0.21704
     0.46758    0.22105
     0.45703    0.22528
     0.44649    0.22971
     0.43596    0.23440
     0.42545    0.23932
     0.41495    0.24451
     0.40446    0.24998
     0.39398    0.25574
     0.38352    0.26182
     0.37308    0.26824
     0.36265    0.27501
     0.35224    0.28215
     0.34185    0.28970
     0.33148    0.29766
     0.32114    0.30609
     0.31081    0.31500
     0.30051    0.32442
     0.29024    0.33439
     0.28000    0.34495
     0.26979    0.35613
     0.25961    0.36798
     0.24946    0.38055
     0.23936    0.39387
     0.22930    0.40802
     0.21929    0.42303
     0.20932    0.43898
     0.19942    0.45592
     0.18958    0.47392
     0.17981    0.49306
     0.17013    0.51339
     0.16053    0.53500
     0.15105    0.55794
     0.14169    0.58226
     0.13248    0.60800
     0.12344    0.63516
     0.11461    0.66370
     0.10603    0.69352
     0.09773    0.72443
     0.08976    0.75615
     0.08218    0.78831
     0.07501    0.82041
     0.06830    0.85187
     0.06206    0.88207
     0.05630    0.91032
     0.05101    0.93594
     0.04617    0.95824
     0.04174    0.97652
     0.03771    0.99007
     0.03403    0.99810
     0.03067    0.99977
     0.02760    0.99409
     0.02478    0.97992
     0.02220    0.95592
     0.01983    0.92051
     0.01764    0.87179
     0.01563    0.80752
     0.01377    0.72506
     0.01206    0.62130
     0.01049    0.49262
     0.00903    0.33494
     0.00770    0.14374
     0.00648   -0.08598
     0.00537   -0.35903
     0.00437   -0.67992
     0.00348   -1.05221
     0.00268   -1.47689
     0.00200   -1.95231
     0.00141   -2.47203
     0.00093   -3.02463
     0.00055   -3.59497
     0.00028   -4.16276
     0.00010   -4.71164
     0.00001   -5.21900
     0.00001   -5.69383
     0.00010   -6.13946
     0.00028   -6.52711
     0.00055   -6.84062
     0.00093   -7.06339
     0.00141   -7.19702
     0.00200   -7.24436
     0.00268   -7.21536
     0.00348   -7.12383
     0.00437   -6.98230
     0.00537   -6.80471
     0.00648   -6.60142
     0.00770   -6.38139
     0.00903   -6.15266
     0.01049   -5.91947
     0.01206   -5.68618
     0.01377   -5.45577
     0.01563   -5.22974
     0.01764   -5.00908
     0.01983   -4.79502
     0.02220   -4.58757
     0.02478   -4.38677
     0.02760   -4.19279
     0.03067   -4.00545
     0.03403   -3.82453
     0.03771   -3.64999
     0.04174   -3.48163
     0.04617   -3.31955
     0.05101   -3.16374
     0.05630   -3.01442
     0.06206   -2.87185
     0.06830   -2.73628
     0.07501   -2.60807
     0.08218   -2.48736
     0.08976   -2.37427
     0.09773   -2.26873
     0.10603   -2.17048
     0.11461   -2.07918
     0.12344   -1.99435
     0.13248   -1.91548
     0.14169   -1.84208
     0.15105   -1.77357
     0.16053   -1.70953
     0.17013   -1.64949
     0.17981   -1.59304
     0.18958   -1.53985
     0.19942   -1.48957
     0.20932   -1.44194
     0.21929   -1.39672
     0.22930   -1.35366
     0.23936   -1.31261
     0.24946   -1.27336
     0.25961   -1.23578
     0.26979   -1.19974
     0.28000   -1.16511
     0.29024   -1.13179
     0.30051   -1.09969
     0.31081   -1.06872
     0.32114   -1.03879
     0.33148   -1.00986
     0.34185   -0.98183
     0.35224   -0.95469
     0.36265   -0.92834
     0.37308   -0.90276
     0.38352   -0.87791
     0.39398   -0.85373
     0.40446   -0.83019
     0.41495   -0.80727
     0.42545   -0.78492
     0.43596   -0.76311
     0.44649   -0.74184
     0.45703   -0.72104
     0.46758   -0.70072
     0.47814   -0.68084
     0.48871   -0.66138
     0.49929   -0.64233
     0.50987   -0.62366
     0.52047   -0.60535
     0.53107   -0.58738
     0.54168   -0.56974
     0.55229   -0.55240
     0.56292   -0.53537
     0.57354   -0.51860
     0.58418   -0.50209
     0.59481   -0.48583
     0.60546   -0.46979
     0.61610   -0.45397
     0.62675   -0.43835
     0.63740   -0.42290
     0.64806   -0.40762
     0.65872   -0.39249
     0.66938   -0.37749
     0.68004   -0.36261
     0.69071   -0.34782
     0.70137   -0.33313
     0.71204   -0.31849
     0.72271   -0.30390
     0.73337   -0.28934
     0.74404   -0.27477
