#      x          Cp  
     1.00000    0.42094
     0.99485    0.28173
     0.98822    0.24169
     0.98083    0.21012
     0.97270    0.18649
     0.96390    0.16701
     0.95456    0.15054
     0.94481    0.13633
     0.93475    0.12392
     0.92449    0.11298
     0.91410    0.10322
     0.90361    0.09447
     0.89307    0.08653
     0.88249    0.07929
     0.87188    0.07265
     0.86126    0.06651
     0.85062    0.06082
     0.83998    0.05550
     0.82933    0.05052
     0.81868    0.04582
     0.80802    0.04140
     0.79736    0.03720
     0.78670    0.03321
     0.77604    0.02941
     0.76537    0.02577
     0.75471    0.02229
     0.74404    0.01894
     0.73337    0.01572
     0.72271    0.01262
     0.71204    0.00963
     0.70137    0.00673
     0.69071    0.00393
     0.68004    0.00121
     0.66938   -0.00142
     0.65872   -0.00398
     0.64806   -0.00647
     0.63740   -0.00889
     0.62675   -0.01124
     0.61610   -0.01352
     0.60546   -0.01573
     0.59481   -0.01789
     0.58418   -0.01997
     0.57354   -0.02200
     0.56292   -0.02395
     0.55229   -0.02583
     0.54168   -0.02764
     0.53107   -0.02939
     0.52047   -0.03105
     0.50987   -0.03263
     0.49929   -0.03413
     0.48871   -0.03553
     0.47814   -0.03685
     0.46758   -0.03806
     0.45703   -0.03915
     0.44649   -0.04013
     0.43596   -0.04099
     0.42545   -0.04171
     0.41495   -0.04228
     0.40446   -0.04270
     0.39398   -0.04295
     0.38352   -0.04302
     0.37308   -0.04289
     0.36265   -0.04255
     0.35224   -0.04198
     0.34185   -0.04116
     0.33148   -0.04008
     0.32114   -0.03870
     0.31081   -0.03702
     0.30051   -0.03500
     0.29024   -0.03260
     0.28000   -0.02981
     0.26979   -0.02658
     0.25961   -0.02288
     0.24946   -0.01867
     0.23936   -0.01390
     0.22930   -0.00851
     0.21929   -0.00246
     0.20932    0.00432
     0.19942    0.01190
     0.18958    0.02036
     0.17981    0.02979
     0.17013    0.04027
     0.16053    0.05192
     0.15105    0.06485
     0.14169    0.07917
     0.13248    0.09504
     0.12344    0.11257
     0.11461    0.13189
     0.10603    0.15313
     0.09773    0.17638
     0.08976    0.20168
     0.08218    0.22905
     0.07501    0.25842
     0.06830    0.28969
     0.06206    0.32270
     0.05630    0.35726
     0.05101    0.39318
     0.04617    0.43028
     0.04174    0.46837
     0.03771    0.50731
     0.03403    0.54696
     0.03067    0.58718
     0.02760    0.62784
     0.02478    0.66877
     0.02220    0.70977
     0.01983    0.75060
     0.01764    0.79092
     0.01563    0.83028
     0.01377    0.86809
     0.01206    0.90358
     0.01049    0.93572
     0.00903    0.96322
     0.00770    0.98443
     0.00648    0.99728
     0.00537    0.99930
     0.00437    0.98756
     0.00348    0.95885
     0.00268    0.90983
     0.00200    0.83745
     0.00141    0.73941
     0.00093    0.61493
     0.00055    0.46503
     0.00028    0.29293
     0.00010    0.10342
     0.00001   -0.09562
     0.00001   -0.30316
     0.00010   -0.52066
     0.00028   -0.74049
     0.00055   -0.95360
     0.00093   -1.15035
     0.00141   -1.32581
     0.00200   -1.47563
     0.00268   -1.59837
     0.00348   -1.69497
     0.00437   -1.76712
     0.00537   -1.81802
     0.00648   -1.85053
     0.00770   -1.86761
     0.00903   -1.87242
     0.01049   -1.86692
     0.01206   -1.85333
     0.01377   -1.83346
     0.01563   -1.80852
     0.01764   -1.77952
     0.01983   -1.74757
     0.02220   -1.71321
     0.02478   -1.67693
     0.02760   -1.63927
     0.03067   -1.60053
     0.03403   -1.56094
     0.03771   -1.52079
     0.04174   -1.48022
     0.04617   -1.43948
     0.05101   -1.39873
     0.05630   -1.35819
     0.06206   -1.31809
     0.06830   -1.27864
     0.07501   -1.24012
     0.08218   -1.20270
     0.08976   -1.16658
     0.09773   -1.13189
     0.10603   -1.09868
     0.11461   -1.06698
     0.12344   -1.03675
     0.13248   -1.00794
     0.14169   -0.98047
     0.15105   -0.95422
     0.16053   -0.92913
     0.17013   -0.90510
     0.17981   -0.88201
     0.18958   -0.85982
     0.19942   -0.83844
     0.20932   -0.81780
     0.21929   -0.79785
     0.22930   -0.77851
     0.23936   -0.75977
     0.24946   -0.74157
     0.25961   -0.72386
     0.26979   -0.70663
     0.28000   -0.68983
     0.29024   -0.67345
     0.30051   -0.65745
     0.31081   -0.64182
     0.32114   -0.62653
     0.33148   -0.61158
     0.34185   -0.59693
     0.35224   -0.58258
     0.36265   -0.56851
     0.37308   -0.55472
     0.38352   -0.54118
     0.39398   -0.52788
     0.40446   -0.51483
     0.41495   -0.50200
     0.42545   -0.48939
     0.43596   -0.47698
     0.44649   -0.46478
     0.45703   -0.45277
     0.46758   -0.44095
     0.47814   -0.42930
     0.48871   -0.41782
     0.49929   -0.40650
     0.50987   -0.39534
     0.52047   -0.38432
     0.53107   -0.37345
     0.54168   -0.36270
     0.55229   -0.35208
     0.56292   -0.34159
     0.57354   -0.33120
     0.58418   -0.32092
     0.59481   -0.31073
     0.60546   -0.30063
     0.61610   -0.29061
     0.62675   -0.28066
     0.63740   -0.27077
     0.64806   -0.26094
     0.65872   -0.25115
     0.66938   -0.24139
     0.68004   -0.23166
     0.69071   -0.22193
     0.70137   -0.21221
     0.71204   -0.20247
     0.72271   -0.19271
     0.73337   -0.18290
     0.74404   -0.17304
     0.75471   -0.16309
     0.76537   -0.15306
     0.77604   -0.14290
     0.78670   -0.13261
     0.79736   -0.12215
     0.80802   -0.11150
     0.81868   -0.10061
     0.82933   -0.08946
     0.83998   -0.07799
     0.85062   -0.06617
     0.86126   -0.05392
     0.87188   -0.04117
     0.88249   -0.02786
     0.89307   -0.01386
     0.90361    0.00093
     0.91410    0.01667
     0.92449    0.03354
     0.93475    0.05174
     0.94481    0.07156
     0.95456    0.09333
     0.96390    0.11751
     0.97270    0.14484
     0.98083    0.17645
     0.98822    0.21662
     0.99485    0.26463
     1.00000    0.42094
