#      x          Cp  
     1.00000    0.43072
     0.99485    0.30136
     0.98822    0.26545
     0.98083    0.23812
     0.97270    0.21832
     0.96390    0.20251
     0.95456    0.18959
     0.94481    0.17881
     0.93475    0.16972
     0.92449    0.16200
     0.91410    0.15537
     0.90361    0.14965
     0.89307    0.14468
     0.88249    0.14034
     0.87188    0.13655
     0.86126    0.13320
     0.85062    0.13026
     0.83998    0.12766
     0.82933    0.12537
     0.81868    0.12335
     0.80802    0.12158
     0.79736    0.12002
     0.78670    0.11867
     0.77604    0.11749
     0.76537    0.11648
     0.75471    0.11563
     0.74404    0.11492
     0.73337    0.11434
     0.72271    0.11389
     0.71204    0.11357
     0.70137    0.11335
     0.69071    0.11325
     0.68004    0.11325
     0.66938    0.11336
     0.65872    0.11357
     0.64806    0.11388
     0.63740    0.11429
     0.62675    0.11480
     0.61610    0.11542
     0.60546    0.11614
     0.59481    0.11696
     0.58418    0.11789
     0.57354    0.11893
     0.56292    0.12009
     0.55229    0.12136
     0.54168    0.12276
     0.53107    0.12428
     0.52047    0.12594
     0.50987    0.12775
     0.49929    0.12969
     0.48871    0.13180
     0.47814    0.13408
     0.46758    0.13652
     0.45703    0.13916
     0.44649    0.14199
     0.43596    0.14503
     0.42545    0.14828
     0.41495    0.15178
     0.40446    0.15552
     0.39398    0.15953
     0.38352    0.16383
     0.37308    0.16843
     0.36265    0.17335
     0.35224    0.17861
     0.34185    0.18425
     0.33148    0.19027
     0.32114    0.19672
     0.31081    0.20361
     0.30051    0.21099
     0.29024    0.21889
     0.28000    0.22734
     0.26979    0.23639
     0.25961    0.24608
     0.24946    0.25646
     0.23936    0.26758
     0.22930    0.27950
     0.21929    0.29227
     0.20932    0.30598
     0.19942    0.32069
     0.18958    0.33648
     0.17981    0.35345
     0.17013    0.37166
     0.16053    0.39124
     0.15105    0.41226
     0.14169    0.43483
     0.13248    0.45904
     0.12344    0.48494
     0.11461    0.51260
     0.10603    0.54200
     0.09773    0.57309
     0.08976    0.60573
     0.08218    0.63969
     0.07501    0.67467
     0.06830    0.71025
     0.06206    0.74599
     0.05630    0.78138
     0.05101    0.81593
     0.04617    0.84913
     0.04174    0.88047
     0.03771    0.90947
     0.03403    0.93558
     0.03067    0.95823
     0.02760    0.97678
     0.02478    0.99047
