#      x          Cp  
     1.00000    0.41828
     0.99485    0.26510
     0.98822    0.21867
     0.98083    0.18027
     0.97270    0.15033
     0.96390    0.12466
     0.95456    0.10213
     0.94481    0.08200
     0.93475    0.06379
     0.92449    0.04718
     0.91410    0.03187
     0.90361    0.01768
     0.89307    0.00440
     0.88249   -0.00809
     0.87188   -0.01991
     0.86126   -0.03118
     0.85062   -0.04195
     0.83998   -0.05231
     0.82933   -0.06230
     0.81868   -0.07199
     0.80802   -0.08141
     0.79736   -0.09059
     0.78670   -0.09957
     0.77604   -0.10838
     0.76537   -0.11704
     0.75471   -0.12556
     0.74404   -0.13398
     0.73337   -0.14231
     0.72271   -0.15056
     0.71204   -0.15875
     0.70137   -0.16690
     0.69071   -0.17501
     0.68004   -0.18310
     0.66938   -0.19117
     0.65872   -0.19923
     0.64806   -0.20731
     0.63740   -0.21539
     0.62675   -0.22350
     0.61610   -0.23164
     0.60546   -0.23981
     0.59481   -0.24802
     0.58418   -0.25628
     0.57354   -0.26459
     0.56292   -0.27296
     0.55229   -0.28140
     0.54168   -0.28990
     0.53107   -0.29848
     0.52047   -0.30713
     0.50987   -0.31587
     0.49929   -0.32469
     0.48871   -0.33360
     0.47814   -0.34260
     0.46758   -0.35171
     0.45703   -0.36090
     0.44649   -0.37021
     0.43596   -0.37962
     0.42545   -0.38914
     0.41495   -0.39878
     0.40446   -0.40853
     0.39398   -0.41840
     0.38352   -0.42839
     0.37308   -0.43851
     0.36265   -0.44875
     0.35224   -0.45913
     0.34185   -0.46964
     0.33148   -0.48030
     0.32114   -0.49109
     0.31081   -0.50205
     0.30051   -0.51314
     0.29024   -0.52439
     0.28000   -0.53581
     0.26979   -0.54740
     0.25961   -0.55916
     0.24946   -0.57111
     0.23936   -0.58324
     0.22930   -0.59558
     0.21929   -0.60813
     0.20932   -0.62090
     0.19942   -0.63390
     0.18958   -0.64716
     0.17981   -0.66067
     0.17013   -0.67448
     0.16053   -0.68856
     0.15105   -0.70296
     0.14169   -0.71769
     0.13248   -0.73272
     0.12344   -0.74810
     0.11461   -0.76379
     0.10603   -0.77975
     0.09773   -0.79595
     0.08976   -0.81230
     0.08218   -0.82869
     0.07501   -0.84498
     0.06830   -0.86101
     0.06206   -0.87664
     0.05630   -0.89165
     0.05101   -0.90589
     0.04617   -0.91920
     0.04174   -0.93138
     0.03771   -0.94231
     0.03403   -0.95173
     0.03067   -0.95950
     0.02760   -0.96533
     0.02478   -0.96896
     0.02220   -0.97008
     0.01983   -0.96818
     0.01764   -0.96280
     0.01563   -0.95344
     0.01377   -0.93921
     0.01206   -0.91931
     0.01049   -0.89284
     0.00903   -0.85855
     0.00770   -0.81504
     0.00648   -0.76116
     0.00537   -0.69521
     0.00437   -0.61588
     0.00348   -0.52222
     0.00268   -0.41351
     0.00200   -0.29033
     0.00141   -0.15414
     0.00093   -0.00812
     0.00055    0.14292
     0.00028    0.29398
     0.00010    0.43827
     0.00001    0.56987
     0.00001    0.68552
     0.00010    0.78604
     0.00028    0.86986
     0.00055    0.93345
     0.00093    0.97559
     0.00141    0.99670
     0.00200    0.99863
     0.00268    0.98419
     0.00348    0.95662
     0.00437    0.91916
     0.00537    0.87474
     0.00648    0.82579
     0.00770    0.77426
     0.00903    0.72161
     0.01049    0.66893
     0.01206    0.61698
     0.01377    0.56623
     0.01563    0.51703
     0.01764    0.46958
     0.01983    0.42393
     0.02220    0.38013
     0.02478    0.33818
     0.02760    0.29801
     0.03067    0.25960
     0.03403    0.22290
     0.03771    0.18786
     0.04174    0.15447
     0.04617    0.12272
     0.05101    0.09265
     0.05630    0.06429
     0.06206    0.03769
     0.06830    0.01294
     0.07501   -0.00992
     0.08218   -0.03084
     0.08976   -0.04983
     0.09773   -0.06692
     0.10603   -0.08218
     0.11461   -0.09572
     0.12344   -0.10764
