#      x          Cp  
     1.00000    0.41942
     0.99485    0.26463
     0.98822    0.21739
     0.98083    0.17810
     0.97270    0.14731
     0.96390    0.12080
     0.95456    0.09744
     0.94481    0.07649
     0.93475    0.05747
     0.92449    0.04006
     0.91410    0.02397
     0.90361    0.00900
     0.89307   -0.00503
     0.88249   -0.01828
     0.87188   -0.03085
     0.86126   -0.04286
     0.85062   -0.05437
     0.83998   -0.06546
     0.82933   -0.07619
     0.81868   -0.08661
     0.80802   -0.09676
     0.79736   -0.10668
     0.78670   -0.11639
     0.77604   -0.12594
     0.76537   -0.13535
     0.75471   -0.14462
     0.74404   -0.15380
     0.73337   -0.16290
     0.72271   -0.17192
     0.71204   -0.18089
     0.70137   -0.18984
     0.69071   -0.19874
     0.68004   -0.20765
     0.66938   -0.21654
     0.65872   -0.22545
     0.64806   -0.23438
     0.63740   -0.24333
     0.62675   -0.25233
     0.61610   -0.26136
     0.60546   -0.27045
     0.59481   -0.27960
     0.58418   -0.28882
     0.57354   -0.29811
     0.56292   -0.30748
     0.55229   -0.31693
     0.54168   -0.32648
     0.53107   -0.33614
     0.52047   -0.34589
     0.50987   -0.35575
     0.49929   -0.36573
     0.48871   -0.37583
     0.47814   -0.38606
     0.46758   -0.39643
     0.45703   -0.40692
     0.44649   -0.41757
     0.43596   -0.42835
     0.42545   -0.43930
     0.41495   -0.45040
     0.40446   -0.46167
     0.39398   -0.47311
     0.38352   -0.48473
     0.37308   -0.49653
     0.36265   -0.50853
     0.35224   -0.52073
     0.34185   -0.53313
     0.33148   -0.54575
     0.32114   -0.55859
     0.31081   -0.57167
     0.30051   -0.58499
     0.29024   -0.59857
     0.28000   -0.61243
     0.26979   -0.62657
     0.25961   -0.64101
     0.24946   -0.65578
     0.23936   -0.67089
     0.22930   -0.68635
     0.21929   -0.70222
     0.20932   -0.71850
     0.19942   -0.73523
     0.18958   -0.75245
     0.17981   -0.77019
     0.17013   -0.78851
     0.16053   -0.80743
     0.15105   -0.82702
     0.14169   -0.84734
     0.13248   -0.86840
     0.12344   -0.89029
     0.11461   -0.91300
     0.10603   -0.93656
     0.09773   -0.96096
     0.08976   -0.98614
     0.08218   -1.01200
     0.07501   -1.03843
     0.06830   -1.06522
     0.06206   -1.09222
     0.05630   -1.11919
     0.05101   -1.14593
     0.04617   -1.17226
     0.04174   -1.19795
     0.03771   -1.22286
     0.03403   -1.24674
     0.03067   -1.26943
     0.02760   -1.29065
     0.02478   -1.31014
     0.02220   -1.32757
     0.01983   -1.34242
     0.01764   -1.35421
     0.01563   -1.36240
     0.01377   -1.36597
     0.01206   -1.36402
     0.01049   -1.35546
     0.00903   -1.33877
     0.00770   -1.31212
     0.00648   -1.27395
     0.00537   -1.22186
     0.00437   -1.15373
     0.00348   -1.06768
     0.00268   -0.96184
     0.00200   -0.83573
     0.00141   -0.68973
     0.00093   -0.52629
     0.00055   -0.35010
     0.00028   -0.16627
     0.00010    0.01697
     0.00001    0.19207
     0.00001    0.35377
     0.00010    0.50321
     0.00028    0.63891
     0.00055    0.75520
     0.00093    0.84910
     0.00141    0.91935
     0.00200    0.96646
     0.00268    0.99238
     0.00348    0.99999
     0.00437    0.99253
     0.00537    0.97320
     0.00648    0.94487
     0.00770    0.91000
     0.00903    0.87057
     0.01049    0.82817
     0.01206    0.78398
     0.01377    0.73889
     0.01563    0.69358
     0.01764    0.64851
     0.01983    0.60399
     0.02220    0.56026
     0.02478    0.51748
     0.02760    0.47573
     0.03067    0.43508
     0.03403    0.39559
     0.03771    0.35730
     0.04174    0.32026
     0.04617    0.28453
     0.05101    0.25020
     0.05630    0.21738
     0.06206    0.18617
     0.06830    0.15672
     0.07501    0.12913
     0.08218    0.10352
     0.08976    0.07992
     0.09773    0.05835
     0.10603    0.03876
     0.11461    0.02108
     0.12344    0.00519
     0.13248   -0.00904
     0.14169   -0.02174
     0.15105   -0.03303
     0.16053   -0.04306
     0.17013   -0.05194
     0.17981   -0.05977
     0.18958   -0.06667
     0.19942   -0.07270
     0.20932   -0.07795
     0.21929   -0.08251
     0.22930   -0.08642
     0.23936   -0.08975
     0.24946   -0.09255
     0.25961   -0.09485
     0.26979   -0.09672
     0.28000   -0.09818
     0.29024   -0.09927
     0.30051   -0.10002
     0.31081   -0.10045
     0.32114   -0.10059
     0.33148   -0.10047
     0.34185   -0.10011
     0.35224   -0.09953
     0.36265   -0.09873
     0.37308   -0.09775
     0.38352   -0.09660
     0.39398   -0.09528
     0.40446   -0.09382
     0.41495   -0.09222
     0.42545   -0.09049
     0.43596   -0.08865
     0.44649   -0.08671
     0.45703   -0.08465
     0.46758   -0.08252
     0.47814   -0.08029
     0.48871   -0.07798
     0.49929   -0.07561
     0.50987   -0.07316
     0.52047   -0.07064
     0.53107   -0.06807
     0.54168   -0.06543
     0.55229   -0.06274
     0.56292   -0.05999
     0.57354   -0.05719
     0.58418   -0.05434
     0.59481   -0.05144
     0.60546   -0.04848
     0.61610   -0.04547
     0.62675   -0.04241
     0.63740   -0.03929
     0.64806   -0.03612
     0.65872   -0.03288
     0.66938   -0.02958
     0.68004   -0.02621
     0.69071   -0.02277
     0.70137   -0.01925
     0.71204   -0.01564
     0.72271   -0.01194
     0.73337   -0.00814
     0.74404   -0.00422
     0.75471   -0.00019
     0.76537    0.00398
     0.77604    0.00831
     0.78670    0.01280
     0.79736    0.01748
     0.80802    0.02237
     0.81868    0.02748
     0.82933    0.03287
     0.83998    0.03855
     0.85062    0.04457
     0.86126    0.05098
     0.87188    0.05784
     0.88249    0.06520
     0.89307    0.07318
     0.90361    0.08187
     0.91410    0.09140
     0.92449    0.10195
     0.93475    0.11371
     0.94481    0.12695
     0.95456    0.14201
     0.96390    0.15937
     0.97270    0.17976
     0.98083    0.20433
     0.98822    0.23692
     0.99485    0.27795
     1.00000    0.41942
