0.7227,87.808,-1.3924e-5,87.808,28.61,-80.6,80.451,216.69,248.63,329.81,40.939,-6.532e-4,9.1139e-9,0.012832,-3.5685e-5,-9.0855e-6,0.13416,76.569,5.8736,0.052161,336.03
0.7727,100.7,-4.1394e-5,100.7,28.61,-80.6,91.647,231.14,267,353.15,41.161,-1.6291e-4,7.152e-9,-0.0092411,-3.6038e-5,-2.3552e-5,0.27895,76.289,5.8563,0.052127,335.57
0.81925,113.52,-6.8873e-5,113.52,28.61,-80.6,102.72,244.65,283.86,374.74,41.19,3.686e-4,1.2176e-8,0.0070534,-1.8815e-5,-3.476e-5,0.43223,75.979,5.837,0.052089,338.74
0.84559,121.13,-7.9631e-5,121.13,28.61,-80.6,109.27,252.37,293.46,387.05,41.07,4.6005e-4,8.8674e-9,0.018056,-2.1583e-5,-3.7667e-5,0.37573,75.744,5.8223,0.052061,339.65
0.87385,129.57,-8.5264e-5,129.57,28.61,-80.6,116.52,260.6,303.83,400.28,40.836,4.232e-4,5.684e-9,0.027315,-3.709e-5,-3.7705e-5,0.21525,75.567,5.8112,0.052039,340.4
0.91624,142.78,-8.3021e-5,142.78,28.61,-80.6,127.82,272.76,319.55,420.13,40.38,1.7015e-4,0,-0.029896,-4.9149e-5,-3.3315e-5,0.10301,75.338,5.7967,0.052012,338.02
0.96624,159.22,-7.823e-5,159.22,28.61,-80.6,141.81,286.6,338.14,443.26,39.967,1.3724e-4,2.0668e-8,-0.01395,5.1681e-6,-2.8151e-5,0.31671,75.039,5.7777,0.051975,335.59
0.99103,167.72,-7.4032e-5,167.72,28.61,-80.599,148.99,293.31,347.31,454.59,39.893,3.2277e-4,2.2474e-8,-0.0027121,1.726e-5,-2.5291e-5,0.28855,74.797,5.7623,0.051946,334.56
1.0166,176.73,-6.6012e-5,176.73,28.61,-80.599,156.6,300.21,356.72,466.24,39.914,5.721e-4,2.155e-8,0.0065888,3.6703e-5,-2.1401e-5,0.1698,74.634,5.7518,0.051926,346.14
1.0551,190.72,-4.0248e-5,190.72,28.61,-80.599,168.34,311.07,371.2,484.31,40.041,7.6884e-4,1.7016e-8,-0.0093759,5.9873e-5,-1.2092e-5,0.077142,74.424,5.7382,0.051901,336.88
1.1051,209.73,1.7562e-5,209.73,28.61,-80.599,184.24,324.93,389.28,507.07,40.077,1.7727e-4,4.0743e-8,0.007013,2.4138e-5,4.7977e-6,0.22573,74.136,5.7195,0.051866,325.14
1.1306,219.8,5.0912e-5,219.8,28.61,-80.599,192.64,331.69,398.13,518.19,39.963,9.1719e-5,4.1449e-8,0.01722,5.7936e-6,1.3271e-5,0.16524,73.893,5.7036,0.051836,334.9
1.1639,233.25,9.285e-5,233.25,28.61,-80.599,203.83,340.64,410.04,533.07,39.712,9.3101e-5,3.5461e-8,-0.022894,2.4838e-4,2.2808e-5,0.0059927,73.705,5.6913,0.051813,336.7
1.2138,254.17,1.5586e-4,254.17,28.61,-80.599,221.16,353.84,428.2,555.48,39.397,-1.5347e-4,5.2099e-8,-0.010052,4.3566e-6,3.5134e-5,0.17168,73.439,5.6737,0.051781,330.83
1.2411,265.98,1.8917e-4,265.98,28.61,-80.599,230.9,360.78,437.91,567.38,39.352,1.1317e-5,5.1066e-8,5.3178e-4,2.3794e-5,4.075e-5,0.13208,73.192,5.6573,0.051751,332.59
1.2749,280.99,2.2816e-4,280.99,28.61,-80.599,243.25,369.47,449.91,582.17,39.404,6.1482e-4,4.995e-8,-0.0060075,1.5919e-4,4.6524e-5,0.010955,72.998,5.6443,0.051727,314.41
1.3249,303.89,3.1771e-4,303.89,28.61,-80.599,262.02,381.46,466.23,602.4,39.411,7.991e-4,6.7186e-9,0.00653,2.7937e-5,5.9901e-5,0.12172,72.74,5.627,0.051696,314.74
1.3569,318.99,3.9778e-4,318.99,28.61,-80.599,274.36,389.08,476.63,615.27,39.278,-4.5395e-4,8.5454e-9,0.015396,2.6978e-4,7.1449e-5,0.052993,72.493,5.6103,0.051666,315.07
1.405,342.26,4.6083e-4,342.26,28.61,-80.599,293.31,400.22,492.3,634.46,39.027,-0.0012662,1.5647e-8,-0.010958,2.0715e-4,7.7145e-5,0.083687,72.251,5.5938,0.051637,315.42
1.4456,362.55,4.5302e-4,362.55,28.61,-80.599,309.78,409.49,505.54,650.58,38.954,0.0011663,1.482e-8,-1.1773e-4,1.4321e-4,7.1593e-5,0.053602,71.983,5.5755,0.051604,315.79
