# Simulation 1 (Up to date)
# 543 data points written for 53 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,223.83,0,316.54,0,0,0,0,0,223.83,28.61,-80.6,32.127,0,0,0,0,81.002,13.417,6.1332,0.052699,NaN,27.976,NaN,0,0,237.46,0,1.224,1.224,1.0531,0.050888,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0053831
0.01,0.011192,2.2383,328.89,3.1654,465.12,0.011192,0,0.011192,0,2.2383,328.89,28.61,-80.6,32.127,0,0,0,0,81.002,13.417,6.1332,0.052699,NaN,27.976,NaN,0.0028345,75498,341.46,0.0019068,0.73334,0.73334,0.56245,0.050888,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.005829
0.02,0.050027,5.5291,315.22,7.8194,445.79,0.050027,0,0.050027,0,5.5291,315.22,28.61,-80.6,32.127,0,0,0,0,80.947,13.362,6.1301,0.052693,NaN,27.969,NaN,0.0070018,186498,327.71,0.0098181,0.6188,0.6188,0.4479,0.050889,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0062189
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.12109,8.6835,320.7,12.28,453.54,0.12109,0,0.12109,0,8.6835,320.7,28.61,-80.6,32.127,0,0,0,0,80.881,13.296,6.1265,0.052685,NaN,27.96,NaN,0.010996,292895,332.87,0.022475,0.5743,0.5743,0.40339,0.050891,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0066512
0.04,0.22397,11.893,326.19,16.819,461.3,0.22397,0,0.22397,0,11.893,326.19,28.61,-80.6,32.127,0,0,0,0,80.816,13.231,6.1228,0.052677,NaN,27.952,NaN,0.01506,401141,338.04,0.040161,0.54711,0.54711,0.37619,0.050894,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.999,1013.2,1116.8,0.01,0.0070303
0.05,0.35921,15.157,331.68,21.435,469.06,0.35921,0,0.35921,0,15.157,331.68,28.61,-80.6,32.127,0,0,0,0,80.751,13.166,6.1192,0.052669,NaN,27.943,NaN,0.019194,511236,343.21,0.062951,0.52799,0.52799,0.35705,0.050897,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.999,1013.2,1116.8,0.01,0.0074178
0.06,0.52737,18.476,337.17,26.129,476.83,0.52737,0,0.52737,0,18.476,337.17,28.61,-80.6,32.127,0,0,0,0,80.686,13.101,6.1155,0.052661,NaN,27.935,NaN,0.023397,623182,348.38,0.090962,0.51345,0.51345,0.34248,0.050902,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.998,1013.2,1116.8,0.01,0.0078209
0.07,0.729,21.85,341.04,30.9,482.31,0.729,0,0.729,0,21.85,341.04,28.61,-80.6,32.127,0,0,0,0,80.621,13.036,6.1119,0.052653,NaN,27.926,NaN,0.027669,736979,351.94,0.12434,0.50183,0.50183,0.33082,0.050907,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.997,1013.2,1116.8,0.01,0.0082095
0.08,0.96456,25.262,338.24,35.726,478.34,0.96456,0,0.96456,0,25.262,338.24,28.61,-80.6,32.127,0,0,0,0,80.556,12.971,6.1082,0.052645,NaN,27.917,NaN,0.031991,852081,349.09,0.16304,0.49225,0.49225,0.32121,0.050913,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.997,1013.2,1116.8,0.0091833,0.0086004
0.089183,1.2108,28.372,335.15,40.123,473.98,1.2108,0,1.2108,0,28.372,335.15,28.61,-80.6,32.127,0,0,0,0,80.493,12.908,6.1047,0.052638,NaN,27.909,NaN,0.035929,956948,345.86,0.20365,0.48749,0.48749,0.3164,0.05092,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.996,1013.2,1116.8,0.0081769,0.0089948
0.09736,1.454,31.115,332.46,44.003,470.17,1.454,0,1.454,0,31.115,332.46,28.61,-80.6,32.127,0,0,0,0,80.436,12.852,6.1015,0.052631,NaN,27.902,NaN,0.039403,1049473,342.96,0.24495,0.48752,0.48752,0.31639,0.050926,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.995,1013.2,1116.8,0.0074559,0.0093888
0.10482,1.6953,33.596,329.95,47.512,466.62,1.6953,0,1.6953,0,33.596,329.95,28.61,-80.6,32.127,0,0,0,0,80.385,12.8,6.0986,0.052625,NaN,27.895,NaN,0.042544,1133143,340.29,0.28558,0.48755,0.48755,0.31638,0.050932,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.994,1013.2,1116.8,0.0069054,0.0097832
0.11172,1.9351,35.876,327.6,50.736,463.3,1.9351,0,1.9351,0,35.876,327.6,28.61,-80.6,32.127,0,0,0,0,80.338,12.753,6.096,0.052619,NaN,27.889,NaN,0.045432,1.21e6,337.8,0.32568,0.48758,0.48758,0.31638,0.050939,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.993,1013.2,1116.8,0.0064665,0.010175
0.11819,2.174,37.996,325.38,53.734,460.16,2.174,0,2.174,0,37.996,325.38,28.61,-80.6,32.127,0,0,0,0,80.295,12.71,6.0935,0.052613,NaN,27.883,NaN,0.048116,1281531,335.46,0.36533,0.48761,0.48761,0.31637,0.050945,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.992,1013.2,1116.8,0.0061057,0.010569
# Event LAUNCHROD occurred at t=0.12429 seconds
0.12429,2.412,39.983,307.21,56.545,457.74,2.412,0,2.412,0,39.983,339.34,28.61,-80.6,32.127,0,0,0,0,80.253,12.669,6.0912,0.052608,35.227,27.877,2.45,0.050634,1348569,332.63,0.40457,0.48764,0.48764,0.31636,0.050951,0.12033,0,3.3459e-4,-4.888e-4,0,0,0,0,0,3,7.0686,45,0,NaN,58.991,1013.2,1116.8,0.0091586,0.011039
0.13345,2.7911,42.794,305.1,60.728,454.7,2.7924,0,2.7924,0,43.088,337.15,28.61,-80.6,32.127,0.19606,0,1.9667e-5,3.5725e-8,80.204,12.619,6.0883,0.052602,35.168,27.871,2.4324,0.054379,1448321,331.65,0.46674,0.48769,0.48775,0.31635,0.050961,0.12038,0.039808,0.097206,-3.4138e-4,0,0,0,0,2.2909e-8,3,7.0686,45,0,NaN,58.99,1013.2,1116.8,0.013738,0.011461
0.14719,3.4078,46.997,310.82,66.985,462.69,3.4162,0,3.4162,0,47.73,342.74,28.61,-80.6,32.127,0.44318,0,1.31e-4,2.0817e-7,80.129,12.544,6.0841,0.052593,35.094,27.861,2.4112,0.059982,1597508,337.47,0.56822,0.48777,0.48806,0.31633,0.050976,0.12047,0.090632,0.219,4.953e-4,0,0,0,0,8.3533e-7,3,7.0686,45,-8.6559e-7,NaN,58.988,1013.1,1116.7,0.020607,0.011873
0.1678,4.4425,53.431,317.71,76.551,472.25,4.4728,0,4.4728,-2.8187e-8,54.819,349.4,28.61,-80.6,32.127,0.73239,0,5.1821e-4,4.8398e-7,80.018,12.433,6.0778,0.05258,35.01,27.846,2.3879,0.068548,1825608,341.88,0.74305,0.48791,0.4887,0.31629,0.051003,0.12061,0.15104,0.36104,1.0811e-4,0,0,0,0,1.0009e-5,3,7.0686,44.997,-4.0331e-6,NaN,58.984,1013.1,1116.7,0.03091,0.012289
0.19871,6.2458,63.249,311.81,91.133,463.66,6.3341,-3.0412e-8,6.3341,-2.7509e-7,65.611,343.16,28.61,-80.6,32.127,1.0362,0,0.0017116,3.7468e-7,79.852,12.268,6.0683,0.05256,34.923,27.824,2.3664,0.081606,2173280,334.75,1.0552,0.48815,0.48971,0.31623,0.051051,0.12087,0.2156,0.5098,1.9784e-4,0,0,0,0,7.7041e-5,3,7.0686,44.986,-8.9062e-6,NaN,58.978,1013,1116.7,0.046365,0.0127
0.24507,9.513,77.677,303.27,112.58,451.4,9.7444,-1.6985e-7,9.7444,-9.9872e-7,81.485,334.35,28.61,-80.6,32.127,1.3017,0,0.0052209,2.1461e-6,79.605,12.02,6.0541,0.05253,34.85,27.79,2.353,0.10081,2684452,327.63,1.6144,0.48858,0.49102,0.31612,0.051137,0.12132,0.27297,0.64224,1.994e-4,0,0,0,0,4.6978e-4,3,7.0686,44.931,-3.4539e-5,NaN,58.966,1012.9,1116.7,0.05,0.013113
0.29507,13.777,92.882,313.83,135.21,466.9,14.238,-8.8659e-7,14.238,-3.5679e-6,98.256,345.7,28.61,-80.6,32.127,1.3939,0,0.011656,1.4376e-6,79.296,11.712,6.0363,0.052492,34.826,27.749,2.3593,0.12108,3223804,337.44,2.3328,0.48913,0.49193,0.31598,0.051247,0.12191,0.29319,0.69046,-1.0937e-4,0,0,0,0,0.0016232,3,7.0686,44.783,-7.3353e-5,NaN,58.951,1012.8,1116.7,0.05,0.01353
0.34507,18.814,108.58,303.96,158.6,454.84,19.584,-2.7577e-6,19.584,-8.0682e-6,115.61,338.37,28.61,-80.6,32.127,1.2904,0,0.020691,-1.1536e-6,78.977,11.392,6.0178,0.052453,34.859,27.705,2.3849,0.14203,3781146,328.67,3.2113,0.48981,0.49222,0.3158,0.051382,0.12262,0.27077,0.642,-8.456e-5,0,0,0,0,0.0037175,3,7.0686,44.495,-6.0563e-5,NaN,58.933,1012.6,1116.7,0.05,0.013942
0.39507,24.622,123.75,297.64,181.39,449.87,25.789,-5.6724e-6,25.789,-1.2603e-5,132.62,337.33,28.61,-80.6,32.126,1.0109,0,0.031109,-1.7495e-6,78.659,11.074,5.9992,0.052415,34.943,27.661,2.4274,0.16244,4323764,324.83,4.1983,0.49057,0.49207,0.31561,0.051534,0.12343,0.2106,0.50484,-1.0289e-4,0,0,0,0,0.0064246,3,7.0686,44.03,-2.301e-5,NaN,58.912,1012.4,1116.7,0.05,0.014358
0.44507,31.181,138.56,282.05,203.91,433.86,32.844,-9.1783e-6,32.844,-1.6012e-5,149.61,329.67,28.61,-80.6,32.126,0.57938,0,0.040343,-4.6971e-6,78.347,10.762,5.9808,0.052377,35.073,27.618,2.4853,0.18261,4.86e6,313.6,5.3033,0.49143,0.49193,0.31539,0.051705,0.12434,0.11932,0.2883,6.7557e-5,0,0,0,0,0.0085496,3,7.0686,43.382,1.9818e-5,NaN,58.889,1012.1,1116.6,0.05,0.01477
0.49507,38.459,152.54,282.28,225.62,443.02,40.739,-1.1813e-5,40.739,-1.6614e-5,166.25,341.44,28.61,-80.6,32.126,0.067845,0,0.044818,-5.2026e-5,78.04,10.455,5.9626,0.05234,35.232,27.575,2.5523,0.20206,5376574,319.49,6.497,0.49235,0.49235,0.31515,0.051888,0.12531,0.013778,0.026511,-4.1172e-4,0,0,0,0,0.0086184,3,7.0686,42.606,9.5763e-5,NaN,58.863,1011.9,1116.6,0.05,0.015183
0.54507,46.437,166.51,283.31,247.78,454.59,49.481,-1.2262e-5,49.481,-1.4198e-5,183.48,355.51,28.61,-80.6,32.126,0.40527,0,-0.041178,-7.9604e-6,77.734,10.15,5.9444,0.052303,35.135,27.531,2.5347,0.22191,5903333,327.09,7.8538,0.49338,0.49363,0.31488,0.052095,0.1264,0.083183,0.21651,-1.1247e-5,0,0,0,0,-0.0060326,3,7.0686,41.819,1.4319e-4,NaN,58.834,1011.6,1116.6,0.05,0.015595
0.59507,55.115,180.55,281.69,270.48,460.96,59.102,-9.1486e-6,59.102,-8.869e-6,201.4,364.88,28.61,-80.6,32.126,0.69314,0,-0.02835,-7.8035e-6,77.424,9.8387,5.9257,0.052265,35.057,27.487,2.5232,0.24225,6443075,330.64,9.3879,0.49454,0.49526,0.31458,0.052327,0.12763,0.14359,0.36508,3.9824e-4,0,0,0,0,-0.0023995,3,7.0686,41.181,8.0352e-5,NaN,58.803,1011.3,1116.5,0.033059,0.016009
0.62813,61.237,189.81,281.48,285.67,464.2,65.96,-5.857e-6,65.96,-5.0876e-6,213.49,369.13,28.61,-80.6,32.126,0.72444,0,-0.016102,-1.1628e-5,77.16,9.5746,5.9097,0.052233,35.052,27.449,2.5343,0.25586,6803912,333.21,10.489,0.49537,0.49616,0.31437,0.052493,0.12851,0.15031,0.38118,4.9649e-4,0,0,0,0,-6.9394e-4,3,7.0686,40.915,-6.8804e-5,NaN,58.782,1011.1,1116.5,0.028314,0.016306
0.65645,66.724,197.77,282.88,298.78,467.24,72.153,-3.8207e-6,72.153,-3.034e-6,223.96,371.88,28.61,-80.6,32.126,0.6393,6.3224e-9,-0.0049797,-1.7367e-5,76.964,9.3787,5.8978,0.052209,35.081,27.421,2.5534,0.2676,7115224,335.62,11.485,0.49613,0.49674,0.31418,0.052644,0.12931,0.13241,0.338,3.5935e-4,0,0,0,0,-6.0674e-5,3,7.0686,40.808,-2.9009e-4,NaN,58.762,1010.9,1116.5,0.029136,0.0166
0.68558,72.607,206.03,285.81,312.37,470.44,78.836,-4.6739e-6,78.836,-3.3968e-6,234.79,373.67,28.61,-80.6,32.126,0.45601,6.9931e-9,0.005142,-2.2845e-5,76.78,9.1952,5.8866,0.052187,35.14,27.394,2.5817,0.27978,7437730,338.39,12.565,0.49695,0.49726,0.31396,0.052808,0.13018,0.094024,0.24234,-3.7497e-4,0,0,0,0,5.9188e-5,3,7.0686,40.811,-5.4888e-4,NaN,58.741,1010.7,1116.5,0.037115,0.017016
0.7227,80.451,216.69,291.45,329.81,474.8,87.808,-1.3924e-5,87.808,-9.0855e-6,248.63,374.82,28.61,-80.6,32.126,0.13416,9.1139e-9,0.012832,-3.5685e-5,76.569,8.9837,5.8736,0.052161,35.242,27.364,2.6261,0.29541,7851578,336.03,14.027,0.49805,0.49808,0.31368,0.053029,0.13134,0.027435,0.071429,-3.4331e-4,0,0,0,0,3.3066e-4,3,7.0686,40.939,-6.532e-4,NaN,58.713,1010.4,1116.4,0.05,0.017433
0.7727,91.647,231.14,289.12,353.15,464.22,100.7,-4.1394e-5,100.7,-2.3552e-5,267,363.19,28.61,-80.6,32.126,0.27895,7.152e-9,-0.0092411,-3.6038e-5,76.289,8.7043,5.8563,0.052127,35.207,27.323,2.6281,0.31633,8405212,335.57,16.132,0.49963,0.49975,0.31328,0.053344,0.13301,0.057358,0.15046,-3.7272e-4,0,0,0,0,-1.4956e-4,3,7.0686,41.161,-1.6291e-4,NaN,58.673,1010,1116.4,0.046552,0.017912
0.81925,102.72,244.65,293.44,374.74,467.95,113.52,-6.8873e-5,113.52,-3.476e-5,283.86,364.52,28.61,-80.6,32.126,0.43223,1.2176e-8,0.0070534,-1.8815e-5,75.979,8.3941,5.837,0.052089,35.17,27.277,2.6309,0.33568,8916663,338.74,18.22,0.50118,0.50147,0.31288,0.053655,0.13465,0.089387,0.23545,-2.9773e-4,0,0,0,0,7.7383e-5,3,7.0686,41.19,3.686e-4,NaN,58.634,1009.6,1116.4,0.026342,0.01839
0.84559,109.27,252.37,292.7,387.05,468.46,121.13,-7.9631e-5,121.13,-3.7667e-5,293.46,365.76,28.61,-80.6,32.126,0.37573,8.8674e-9,0.018056,-2.1583e-5,75.744,8.1592,5.8223,0.052061,35.191,27.242,2.6499,0.34672,9208358,339.65,19.468,0.50211,0.50232,0.31264,0.053841,0.13563,0.077642,0.20524,-2.538e-4,0,0,0,0,4.7533e-4,3,7.0686,41.07,4.6005e-4,NaN,58.61,1009.3,1116.3,0.02826,0.018816
0.87385,116.52,260.6,290.15,400.28,469.09,129.57,-8.5264e-5,129.57,-3.7705e-5,303.83,368.59,28.61,-80.6,32.126,0.21525,5.684e-9,0.027315,-3.709e-5,75.567,7.9818,5.8112,0.052039,35.245,27.215,2.6766,0.35858,9521511,340.4,20.853,0.50314,0.50321,0.31237,0.054047,0.13672,0.044316,0.11719,2.2868e-4,0,0,0,0,0.0010171,3,7.0686,40.836,4.232e-4,NaN,58.584,1009.1,1116.3,0.04239,0.019273
0.91624,127.82,272.76,280.46,420.13,464.15,142.78,-8.3021e-5,142.78,-3.3315e-5,319.55,369.83,28.61,-80.6,32.126,0.10301,0,-0.029896,-4.9149e-5,75.338,7.7527,5.7967,0.052012,35.287,27.181,2.7023,0.37637,9990908,338.02,23.036,0.50474,0.50476,0.31196,0.05437,0.13842,0.021171,0.058421,2.5574e-4,0,0,0,0,-0.001106,3,7.0686,40.38,1.7015e-4,NaN,58.544,1008.7,1116.3,0.05,0.019692
0.96624,141.81,286.6,270.36,443.26,457.37,159.22,-7.823e-5,159.22,-2.8151e-5,338.14,368.91,28.61,-80.6,32.126,0.31671,2.0668e-8,-0.01395,5.1681e-6,75.039,7.4538,5.7777,0.051975,35.234,27.135,2.6996,0.39711,10537579,335.59,25.739,0.50672,0.50688,0.31145,0.054767,0.1405,0.065603,0.17723,-9.7748e-5,0,0,0,0,-2.1633e-4,3,7.0686,39.967,1.3724e-4,NaN,58.494,1008.2,1116.2,0.024786,0.020095
0.99103,148.99,293.31,269.08,454.59,455.91,167.72,-7.4032e-5,167.72,-2.5291e-5,347.31,368.04,28.61,-80.599,32.126,0.28855,2.2474e-8,-0.0027121,1.726e-5,74.797,7.2122,5.7623,0.051946,35.248,27.098,2.7165,0.40727,10805160,334.56,27.119,0.50773,0.50786,0.31119,0.054969,0.14156,0.059776,0.16265,2.7124e-4,0,0,0,0,-7.7743e-6,3,7.0686,39.893,3.2277e-4,NaN,58.469,1007.9,1116.2,0.025614,0.020544
1.0166,156.6,300.21,278.56,466.24,468.07,176.73,-6.6012e-5,176.73,-2.1401e-5,356.72,376.16,28.61,-80.599,32.126,0.1698,2.155e-8,0.0065888,3.6703e-5,74.634,7.0489,5.7518,0.051926,35.289,27.073,2.7387,0.41772,1.108e7,346.14,28.575,0.50879,0.50883,0.31092,0.055183,0.14268,0.03509,0.095949,-4.4192e-5,0,0,0,0,4.3622e-5,3,7.0686,39.914,5.721e-4,NaN,58.442,1007.7,1116.1,0.038421,0.021011
1.0551,168.34,311.07,278.81,484.31,461.44,190.72,-4.0248e-5,190.72,-1.2092e-5,371.2,367.69,28.61,-80.599,32.126,0.077142,1.7016e-8,-0.0093759,5.9873e-5,74.424,6.8392,5.7382,0.051901,35.327,27.041,2.7619,0.43393,11506362,336.88,30.923,0.51049,0.5105,0.31048,0.055525,0.14448,0.015925,0.04387,-1.705e-4,0,0,0,0,-8.1862e-5,3,7.0686,40.041,7.6884e-4,NaN,58.4,1007.2,1116.1,0.05,0.021548
1.1051,184.24,324.93,268.23,507.07,440.5,209.73,1.7562e-5,209.73,4.7977e-6,389.28,349.42,28.61,-80.599,32.126,0.22573,4.0743e-8,0.007013,2.4138e-5,74.136,6.551,5.7195,0.051866,35.294,26.996,2.766,0.45435,12042689,325.14,34.036,0.51272,0.5128,0.30991,0.055974,0.14684,0.046892,0.13004,3.409e-4,0,0,0,0,4.1781e-5,3,7.0686,40.077,1.7727e-4,NaN,58.343,1006.7,1116,0.025585,0.022081
1.1306,192.64,331.69,270.51,518.19,446.59,219.8,5.0912e-5,219.8,1.3271e-5,398.13,355.34,28.61,-80.599,32.126,0.16524,4.1449e-8,0.01722,5.7936e-6,73.893,6.3077,5.7036,0.051836,35.319,26.958,2.7869,0.46433,12304551,334.9,35.613,0.51385,0.51389,0.30962,0.056202,0.14803,0.034303,0.095482,-2.6178e-4,0,0,0,0,2.4119e-4,3,7.0686,39.963,9.1719e-5,NaN,58.313,1006.4,1116,0.033279,0.022548
1.1639,203.83,340.64,272.24,533.07,456.7,233.25,9.285e-5,233.25,2.2808e-5,410.04,366.68,28.61,-80.599,32.126,0.0059927,3.5461e-8,-0.022894,2.4838e-4,73.705,6.1197,5.6913,0.051813,35.375,26.929,2.8156,0.47768,12654613,336.7,37.786,0.5154,0.5154,0.30922,0.056515,0.14966,0.0012402,0.0037733,-1.0044e-4,0,0,0,0,-4.0287e-4,3,7.0686,39.712,9.3101e-5,NaN,58.273,1006,1116,0.049918,0.023061
1.2138,221.16,353.84,257.67,555.48,442.63,254.17,1.5586e-4,254.17,3.5134e-5,428.2,359.91,28.61,-80.599,32.126,0.17168,5.2099e-8,-0.010052,4.3566e-6,73.439,5.854,5.6737,0.051781,35.339,26.887,2.8175,0.49779,13181115,330.83,41.204,0.51782,0.51786,0.3086,0.057003,0.15221,0.035776,0.10099,-3.0491e-4,0,0,0,0,-7.1527e-5,3,7.0686,39.397,-1.5347e-4,NaN,58.211,1005.3,1115.9,0.027262,0.023593
1.2411,230.9,360.78,259.03,567.38,444.12,265.98,1.8917e-4,265.98,4.075e-5,437.91,360.76,28.61,-80.599,32.126,0.13208,5.1066e-8,5.3178e-4,2.3794e-5,73.192,5.6074,5.6573,0.051751,35.359,26.847,2.8371,0.50847,13460565,332.59,43.086,0.51914,0.51917,0.30826,0.05727,0.15361,0.027527,0.07784,5.5804e-5,0,0,0,0,1.9187e-7,3,7.0686,39.352,1.1317e-5,NaN,58.177,1005,1115.9,0.033811,0.024112
1.2749,243.25,369.47,238.69,582.17,406.59,280.99,2.2816e-4,280.99,4.6524e-5,449.91,329.15,28.61,-80.599,32.126,0.010955,4.995e-8,-0.0060075,1.5919e-4,72.998,5.4132,5.6443,0.051727,35.406,26.816,2.8633,0.52175,13807485,314.41,45.49,0.52083,0.52083,0.30783,0.057611,0.15539,0.0022789,0.0061657,1.7634e-4,0,0,0,0,-2.3259e-5,3,7.0686,39.404,6.1482e-4,NaN,58.133,1004.6,1115.8,0.05,0.024579
1.3249,262.02,381.46,239.39,602.4,403.22,303.89,3.1771e-4,303.89,5.9901e-5,466.23,324.46,28.61,-80.599,32.126,0.12172,6.7186e-9,0.00653,2.7937e-5,72.74,5.1553,5.627,0.051696,35.39,26.775,2.8718,0.53991,14280947,314.74,48.904,0.52321,0.52323,0.30722,0.058092,0.1579,0.025457,0.072591,-4.7392e-4,0,0,0,0,2.5666e-5,3,7.0686,39.411,7.991e-4,NaN,58.066,1003.9,1115.7,0.03202,0.025034
1.3569,274.36,389.08,235.88,615.27,401.55,318.99,3.9778e-4,318.99,7.1449e-5,476.63,324.97,28.61,-80.599,32.126,0.052993,8.5454e-9,0.015396,2.6978e-4,72.493,4.9077,5.6103,0.051666,35.423,26.734,2.8961,0.55148,14581954,315.07,51.148,0.52476,0.52477,0.30682,0.058408,0.15954,0.011078,0.032323,-4.0508e-4,0,0,0,0,1.3677e-4,3,7.0686,39.278,-4.5395e-4,NaN,58.022,1003.4,1115.7,0.04803,0.025497
1.405,293.31,400.22,228.7,634.46,398.56,342.26,4.6083e-4,342.26,7.7145e-5,492.3,326.42,28.61,-80.599,32.126,0.083687,1.5647e-8,-0.010958,2.0715e-4,72.251,4.666,5.5938,0.051637,35.434,26.695,2.9129,0.56871,1.503e7,315.42,54.605,0.52714,0.52715,0.30621,0.058891,0.16205,0.01755,0.051257,-4.4996e-4,0,0,0,0,-6.5156e-5,3,7.0686,39.027,-0.0012662,NaN,57.954,1002.8,1115.6,0.040675,0.025966
1.4456,309.78,409.49,227.26,650.58,395.74,362.55,4.5302e-4,362.55,7.1593e-5,505.54,323.98,28.61,-80.599,32.126,0.053602,1.482e-8,-1.1773e-4,1.4321e-4,71.983,4.3983,5.5755,0.051604,35.461,26.651,2.9368,0.5832,15406066,315.79,57.612,0.5292,0.52921,0.30568,0.059308,0.16422,0.011254,0.03301,2.2813e-4,0,0,0,0,-7.1523e-9,3,7.0686,38.954,0.0011663,NaN,57.895,1002.2,1115.5,0.05,0.026418
1.4956,330.54,420.9,226.57,670.24,389.37,388.23,5.2815e-4,388.23,7.7946e-5,521.6,316.66,28.61,-80.599,32.126,0.053136,5.9628e-8,0.0025326,-7.4311e-6,71.709,4.1246,5.5566,0.051571,35.486,26.605,2.9602,0.60086,15863869,314.77,61.408,0.53178,0.53179,0.30502,0.059833,0.16693,0.011184,0.033096,1.4034e-4,0,0,0,0,3.1187e-6,3,7.0686,38.955,0.0016392,NaN,57.821,1001.4,1115.5,0.05,0.026876
1.5456,351.87,432.14,218.66,689.59,380.14,414.71,6.794e-4,414.71,9.3866e-5,537.39,310.96,28.61,-80.599,32.125,0.011739,9.2354e-8,0.010278,7.2387e-4,71.409,3.8236,5.5357,0.051534,35.524,26.555,2.9898,0.61826,16313792,311.78,65.285,0.5344,0.5344,0.30435,0.060366,0.16969,0.0024744,0.0075396,4.1439e-4,0,0,0,0,4.852e-5,3,7.0686,38.816,-6.4584e-4,NaN,57.745,1000.7,1115.4,0.05,0.027336
1.5956,373.75,442.94,211.23,708.47,372.1,441.96,7.6377e-4,441.96,9.9014e-5,552.93,306.33,28.61,-80.599,32.125,0.031119,1.3967e-7,-0.0058062,2.1069e-5,71.109,3.5237,5.5147,0.051498,35.545,26.504,3.0138,0.63523,16751879,309.59,69.204,0.53703,0.53703,0.30367,0.060901,0.17246,0.0065796,0.019501,-1.481e-4,0,0,0,0,-1.467e-5,3,7.0686,38.666,8.0355e-4,NaN,57.667,999.89,1115.3,0.05,0.027797
1.6456,396.16,453.47,208.19,726.93,365.6,469.99,9.2251e-4,469.99,1.1246e-4,568.16,300.53,28.61,-80.599,32.125,0.0065672,1.6712e-7,0.0033596,-5.3004e-4,70.811,3.2265,5.4938,0.051462,35.581,26.454,3.0425,0.65184,17179484,308.62,73.169,0.53967,0.53967,0.303,0.061439,0.17524,0.0013913,0.0037709,-4.7853e-4,0,0,0,0,4.6653e-6,3,7.0686,38.601,0.0018661,NaN,57.587,999.09,1115.2,0.05,0.028269
1.6956,419.09,463.82,203.65,745.08,359.07,498.77,0.0011702,498.77,1.3442e-4,583.11,295.73,28.61,-80.598,32.125,0.0076139,1.964e-7,0.0062722,9.0199e-4,70.517,2.9321,5.4729,0.051426,35.61,26.403,3.0689,0.66816,17598755,307.66,77.195,0.54233,0.54233,0.30231,0.061983,0.17804,0.0016174,0.0045194,-4.2922e-4,0,0,0,0,1.5479e-5,3,7.0686,38.507,-9.1608e-4,NaN,57.505,998.27,1115.1,0.05,0.028729
