#      x          Cp  
     1.00000    0.41953
     0.99180    0.22109
     0.98067    0.15546
     0.96782    0.09784
     0.95357    0.05139
     0.93838    0.00968
     0.92265   -0.02619
     0.90663   -0.05906
     0.89046   -0.08995
     0.87420   -0.11758
     0.85789   -0.14443
     0.84156   -0.16952
     0.82521   -0.19287
     0.80884   -0.21669
     0.79246   -0.23865
     0.77607   -0.26058
     0.75967   -0.28148
     0.74326   -0.30258
     0.72685   -0.32306
     0.71043   -0.34384
     0.69401   -0.36365
     0.67759   -0.38394
     0.66117   -0.40381
     0.64475   -0.42415
     0.62833   -0.44439
     0.61192   -0.46444
     0.59551   -0.48505
     0.57911   -0.50564
     0.56271   -0.52633
     0.54633   -0.54784
     0.52996   -0.56903
     0.51360   -0.59125
     0.49726   -0.61345
     0.48093   -0.63668
     0.46463   -0.65996
     0.44836   -0.68458
     0.43212   -0.71008
     0.41594   -0.73669
     0.39984   -0.76798
     0.38386   -0.79942
     0.36796   -0.82706
     0.35212   -0.85414
     0.33634   -0.88027
     0.32061   -0.90656
     0.30494   -0.93230
     0.28933   -0.95794
     0.27379   -0.98392
     0.25833   -1.00975
     0.24295   -1.03586
     0.22767   -1.06174
     0.21250   -1.08846
     0.19747   -1.11528
     0.18258   -1.14285
     0.16787   -1.17106
     0.15338   -1.20037
     0.13916   -1.23067
     0.12527   -1.26262
     0.11181   -1.29654
     0.09890   -1.33179
     0.08669   -1.37035
     0.07535   -1.41045
     0.06500   -1.45247
     0.05576   -1.49668
     0.04762   -1.54119
     0.04054   -1.58721
     0.03441   -1.63114
     0.02912   -1.67503
     0.02453   -1.71618
     0.02055   -1.75581
     0.01707   -1.78863
     0.01404   -1.81735
     0.01138   -1.83406
     0.00906   -1.84119
     0.00704   -1.82512
     0.00530   -1.78767
     0.00381   -1.71303
     0.00258   -1.59742
     0.00159   -1.42716
     0.00084   -1.20054
     0.00034   -0.92210
     0.00006   -0.60861
     0.00001   -0.28685
     0.00016    0.03084
     0.00056    0.33371
     0.00122    0.59413
     0.00215    0.78983
     0.00334    0.91649
     0.00480    0.98183
     0.00653    1.00000
     0.00853    0.98524
     0.01081    0.94900
     0.01339    0.90074
     0.01631    0.84451
     0.01960    0.78587
     0.02333    0.72572
     0.02758    0.66679
     0.03242    0.60882
     0.03799    0.55316
     0.04440    0.50007
     0.05182    0.44970
     0.06037    0.40295
     0.07015    0.36005
     0.08115    0.32190
     0.09331    0.28863
     0.10645    0.26000
     0.12039    0.23634
     0.13494    0.21646
     0.14995    0.20021
     0.16531    0.18707
     0.18095    0.17613
     0.19680    0.16737
     0.21282    0.16027
     0.22899    0.15439
     0.24528    0.14969
     0.26167    0.14583
     0.27816    0.14261
     0.29474    0.14028
     0.31138    0.13772
     0.32809    0.13601
     0.34486    0.13412
     0.36167    0.13205
     0.37851    0.12996
     0.39535    0.12686
     0.41214    0.12168
     0.42890    0.11997
     0.44566    0.11846
     0.46243    0.11785
     0.47923    0.11765
     0.49605    0.11759
     0.51289    0.11792
     0.52976    0.11844
     0.54664    0.11888
     0.56354    0.11988
     0.58046    0.12073
     0.59740    0.12154
     0.61435    0.12288
     0.63131    0.12404
     0.64828    0.12531
     0.66527    0.12642
     0.68226    0.12836
     0.69926    0.12939
     0.71626    0.13095
     0.73327    0.13291
     0.75028    0.13453
     0.76729    0.13694
     0.78431    0.13871
     0.80132    0.14168
     0.81833    0.14373
     0.83534    0.14736
     0.85233    0.15081
     0.86931    0.15555
     0.88624    0.16046
     0.90311    0.16652
     0.91982    0.17472
     0.93623    0.18448
     0.95206    0.19723
     0.96689    0.21518
     0.98019    0.24083
     0.99163    0.27666
     1.00000    0.41953
