#      x          Cp  
     1.00000    0.41458
     0.99168    0.23081
     0.98036    0.17569
     0.96726    0.12832
     0.95271    0.09087
     0.93719    0.06004
     0.92111    0.03159
     0.90473    0.00752
     0.88820   -0.01494
     0.87159   -0.03503
     0.85494   -0.05421
     0.83826   -0.07192
     0.82157   -0.08893
     0.80487   -0.10525
     0.78817   -0.12123
     0.77146   -0.13633
     0.75474   -0.15172
     0.73803   -0.16608
     0.72131   -0.18095
     0.70459   -0.19502
     0.68788   -0.20998
     0.67117   -0.22421
     0.65446   -0.23848
     0.63777   -0.25315
     0.62107   -0.26793
     0.60439   -0.28241
     0.58772   -0.29747
     0.57105   -0.31240
     0.55440   -0.32804
     0.53777   -0.34344
     0.52115   -0.35938
     0.50455   -0.37558
     0.48797   -0.39192
     0.47142   -0.40903
     0.45488   -0.42588
     0.43838   -0.44369
     0.42190   -0.46165
     0.40545   -0.47983
     0.38904   -0.49898
     0.37267   -0.51849
     0.35634   -0.53827
     0.34006   -0.55894
     0.32382   -0.57989
     0.30765   -0.60162
     0.29153   -0.62416
     0.27549   -0.64752
     0.25952   -0.67135
     0.24365   -0.69640
     0.22787   -0.72257
     0.21221   -0.74962
     0.19669   -0.77783
     0.18133   -0.80801
     0.16617   -0.83955
     0.15126   -0.87284
     0.13665   -0.90852
     0.12244   -0.94622
     0.10876   -0.98675
     0.09574   -1.02993
     0.08357   -1.07568
     0.07242   -1.12309
     0.06239   -1.17195
     0.05353   -1.22191
     0.04580   -1.27117
     0.03910   -1.31953
     0.03329   -1.36611
     0.02825   -1.41007
     0.02387   -1.45036
     0.02003   -1.48662
     0.01666   -1.51395
     0.01369   -1.53522
     0.01108   -1.53946
     0.00879   -1.52721
     0.00678   -1.48901
     0.00505   -1.41833
     0.00358   -1.30236
     0.00236   -1.13746
     0.00140   -0.91264
     0.00070   -0.64184
     0.00024   -0.33663
     0.00003   -0.03076
     0.00003    0.25082
     0.00024    0.50269
     0.00070    0.71281
     0.00140    0.86483
     0.00236    0.95693
     0.00358    0.99629
     0.00505    0.99494
     0.00678    0.96515
     0.00879    0.91675
     0.01108    0.85755
     0.01369    0.79221
     0.01666    0.72483
     0.02003    0.65687
     0.02387    0.58962
     0.02825    0.52463
     0.03329    0.46073
     0.03910    0.40018
     0.04580    0.34168
     0.05353    0.28661
     0.06239    0.23500
     0.07241    0.18759
     0.08357    0.14488
     0.09574    0.10734
     0.10876    0.07439
     0.12244    0.04654
     0.13665    0.02269
     0.15126    0.00261
     0.16617   -0.01412
     0.18133   -0.02828
     0.19669   -0.03981
     0.21221   -0.04933
     0.22787   -0.05732
     0.24365   -0.06348
     0.25952   -0.06860
     0.27549   -0.07218
     0.29153   -0.07508
     0.30765   -0.07700
     0.32382   -0.07807
     0.34006   -0.07858
     0.35634   -0.07822
     0.37267   -0.07792
     0.38904   -0.07643
     0.40545   -0.07524
     0.42190   -0.07310
     0.43838   -0.07091
     0.45488   -0.06843
     0.47142   -0.06560
     0.48797   -0.06274
     0.50455   -0.05937
     0.52115   -0.05614
     0.53777   -0.05251
     0.55441   -0.04889
     0.57105   -0.04487
     0.58772   -0.04116
     0.60439   -0.03669
     0.62107   -0.03260
     0.63777   -0.02819
     0.65446   -0.02370
     0.67117   -0.01887
     0.68788   -0.01398
     0.70459   -0.00870
     0.72131   -0.00379
     0.73803    0.00212
     0.75474    0.00785
     0.77146    0.01410
     0.78817    0.02089
     0.80487    0.02761
     0.82157    0.03532
     0.83826    0.04378
     0.85494    0.05272
     0.87159    0.06297
     0.88820    0.07405
     0.90473    0.08700
     0.92111    0.10216
     0.93719    0.12011
     0.95271    0.14134
     0.96726    0.16844
     0.98036    0.20456
     0.99168    0.24992
     1.00000    0.41458
