0.59712,62.208,223.74,417.19,223.74,417.49,-0.011288,-9.92E-06,0.011288,1.2163,16.415,28.61,-80.598,0.097116,0,-0.024739,-4.91E-06,111.99,35.102,0.16947,445.72,0.060487,2.22E-04,87.825,0.0035836
0.64712,73.917,244.61,417.81,244.62,418.37,0.07227,-1.18E-05,0.07227,2.1692,21.72,28.61,-80.598,0.50828,0,-0.022449,-1.09E-06,111.57,34.971,0.16942,446.99,0.25589,1.18E-04,87.385,0.0045486
0.69712,86.67,265.51,418.24,265.52,419.03,0.20985,-1.18E-05,0.20985,3.3698,26.138,28.61,-80.598,0.717,0,-0.017281,3.33E-07,111.14,34.841,0.16937,448.27,0.35508,1.70E-04,87.024,0.0047613
0.74712,100.47,286.42,418.5,286.46,419.52,0.41243,-8.57E-06,0.41243,4.7579,29.105,28.61,-80.598,0.7716,0,-0.010006,-2.50E-06,110.72,34.708,0.16932,449.54,0.38214,1.18E-04,86.797,0.0051761
0.79712,115.31,307.34,418.64,307.41,419.75,0.68753,-1.72E-06,0.68753,6.2562,30.475,28.61,-80.598,0.7433,0,-0.0013856,-1.62E-06,110.29,34.575,0.16926,450.81,0.3709,2.44E-04,86.733,0.0058253
0.84712,131.2,328.28,418.77,328.38,419.78,1.0383,7.28E-06,1.0383,7.7621,29.329,28.61,-80.598,0.56675,0,0.0072677,4.11E-06,109.87,34.442,0.16921,452.09,0.28627,3.44E-04,86.84,0.0070994
0.89712,148.14,349.21,417.95,349.34,418.77,1.4619,1.95E-05,1.4619,9.1588,26.155,28.61,-80.598,0.33277,0,0.014091,1.03E-05,109.44,34.307,0.16916,452.6,0.16962,-2.61E-04,87.084,0.0078813
0.94712,166.12,370.11,415.85,370.24,416.37,1.9506,3.86E-05,1.9506,10.343,20.929,28.61,-80.598,0.019624,0,0.017053,1.61E-04,109.02,34.172,0.16911,452.01,0.0075722,-2.28E-04,87.396,0.0065158
0.99712,185.15,390.88,413.45,391.04,413.75,2.4916,6.85E-05,2.4916,11.255,15.529,28.61,-80.598,0.24252,0,-0.014596,9.97E-06,108.59,34.034,0.16906,451.42,0.12947,4.49E-04,87.668,-1.92E-04
1.0471,205.21,411.52,410.76,411.71,410.93,3.0719,1.13E-04,3.0719,11.927,11.701,28.61,-80.598,0.38126,0,-0.0073242,-2.56E-06,108.16,33.894,0.16901,450.82,0.20311,1.66E-04,87.809,-0.0063865
1.0971,226.3,432.05,407.74,432.22,407.87,3.6821,1.78E-04,3.6821,12.472,10.676,28.61,-80.598,0.38368,0,0.0025481,-2.06E-06,107.74,33.754,0.16895,450.22,0.20646,-3.13E-04,87.767,-0.0083504
1.1471,248.41,452.4,404.4,452.59,404.59,4.3199,2.65E-04,4.3199,13.064,13.512,28.61,-80.598,0.22549,0,0.011272,-1.49E-05,107.31,33.614,0.1689,449.63,0.12237,-1.99E-04,87.568,-0.0042498
1.1971,271.54,472.57,400.26,472.77,400.69,4.9921,3.76E-04,4.9921,13.873,18.956,28.61,-80.598,0.013803,0,-0.014478,-1.78E-04,106.88,33.472,0.16885,448.63,0.0088766,3.38E-04,87.303,0.0013236
1.2471,295.66,492.52,392.55,492.75,393.24,5.7116,5.04E-04,5.7116,14.943,23.294,28.61,-80.598,0.16773,0,-0.011012,-2.41E-06,106.45,33.329,0.1688,444.57,0.094739,4.60E-04,87.102,0.0082997
1.2971,320.78,512.11,383.96,512.34,384.91,6.4902,6.43E-04,6.4902,16.22,26.84,28.61,-80.598,0.30269,7.04E-09,-0.0016275,-2.53E-06,106.03,33.187,0.16875,440.02,0.17098,4.20E-04,87.089,0.013634
1.3439,345.14,530.02,376.31,530.31,377.1,7.2779,7.83E-04,7.2779,17.441,24.226,28.61,-80.598,0.20165,1.01E-08,0.0085452,-2.27E-05,105.63,33.049,0.1687,435.53,0.11549,1.93E-04,87.255,0.012387
1.3939,372.15,548.79,376.38,549.08,376.8,8.1778,9.28E-04,8.1778,18.503,18.086,28.61,-80.598,0.010029,1.06E-08,-0.0128,-4.85E-04,105.22,32.909,0.16865,438.68,0.0066129,-3.24E-04,87.479,0.0021244
1.4439,400.03,567.52,382.22,567.85,382.45,9.1227,0.0010541,9.1227,19.25,12.638,28.61,-80.598,0.1779,1.17E-08,-0.0076499,-2.26E-05,104.8,32.765,0.1686,447.21,0.10488,3.57E-04,87.587,-0.007059
1.4939,428.9,586.58,352.69,586.91,352.85,10.1,0.0011625,10.1,19.846,11.097,28.61,-80.598,0.16518,0,0.0021798,-2.76E-05,104.38,32.617,0.16855,424.21,0.09844,-3.30E-04,87.51,-0.0061352
1.5439,458.66,604.13,121.47,604.46,121.6,11.108,0.0012818,11.108,20.496,5.6299,28.61,-80.598,0.028603,0,0.0079256,-1.83E-04,103.97,32.475,0.1685,220.03,0.01666,4.09E-04,87.315,0.0034483
1.5939,489.01,610.17,-86.49,610.53,86.49,12.141,0.0014537,12.141,20.877,0.037707,28.61,-80.598,0.083824,0,-0.0058367,-6.19E-05,103.68,32.371,0.16846,34.996,0.050384,-7.63E-05,87.196,0.0082045
1.6439,519.42,605.87,-124,606.23,124,13.186,0.0016867,13.186,20.908,0.99547,28.61,-80.598,0.112,0,6.35E-04,-2.96E-05,103.55,32.325,0.16845,0.16114,0.067401,-1.04E-05,87.254,5.50E-04
1.6939,549.57,599.74,-122.01,600.1,122.06,14.229,0.0019455,14.229,20.803,3.4685,28.61,-80.598,0.021922,8.89E-09,0.0049209,-8.64E-05,103.53,32.318,0.16844,0,0.012802,-4.48E-04,87.399,-0.01469
1.7439,579.4,593.67,-119.9,594.03,120.04,15.264,0.002197,15.264,20.566,5.7782,28.61,-80.598,0.068039,5.49E-09,-0.003294,-2.10E-05,103.53,32.318,0.16844,0,0.04123,-2.46E-04,87.482,-0.015399
1.7939,608.92,587.73,-117.94,588.09,118.09,16.285,0.0024325,16.285,20.265,5.8927,28.61,-80.598,0.077802,7.52E-09,0.0012768,-1.75E-05,103.53,32.318,0.16844,0,0.047087,-6.93E-05,87.435,-0.0022351
1.8439,638.16,581.89,-116.07,582.22,116.19,17.291,0.0026666,17.291,19.983,5.2507,28.61,-80.598,0.055344,7.56E-09,0.0051186,-6.86E-05,103.53,32.318,0.16844,0,0.033714,4.92E-04,87.301,0.010713
1.8939,667.13,576.12,-114.35,576.48,114.38,18.284,0.0029287,18.284,19.788,2.5116,28.61,-80.598,0.050665,7.16E-09,-0.0053229,-7.32E-05,103.53,32.318,0.16844,0,0.030582,-1.22E-04,87.19,0.018074
1.9439,695.77,570.44,-112.6,570.8,112.61,19.271,0.0032421,19.271,19.686,1.9382,28.61,-80.598,0.074324,0,-0.001607,-4.15E-05,103.53,32.318,0.16844,0,0.044592,1.08E-06,87.158,0.010531
1.9939,724.18,564.86,-110.82,565.22,110.86,20.253,0.0035866,20.253,19.572,2.8001,28.61,-80.598,0.038268,0,0.0014842,-2.73E-05,103.53,32.318,0.16844,0,0.022558,-1.41E-04,87.2,-0.0021055
2.0439,752.26,559.38,-109.04,559.71,109.15,21.227,0.0039357,21.227,19.376,4.9984,28.61,-80.598,0.055331,0,-0.0010661,8.24E-06,103.53,32.318,0.16844,0,0.033214,2.43E-04,87.279,-0.012883
2.0939,780.12,553.97,-107.38,554.3,107.52,22.189,0.0042677,22.189,19.105,5.5331,28.61,-80.598,0.081079,0,0.0026763,1.90E-05,103.53,32.318,0.16844,0,0.048348,-2.90E-04,87.332,-0.0056236
2.1439,807.68,548.62,-105.85,548.95,105.93,23.138,0.0045804,23.138,18.859,4.1598,28.61,-80.598,0.023594,0,0.0054183,9.77E-05,103.53,32.318,0.16844,0,0.01385,2.60E-04,87.331,0.010163
2.1939,834.97,543.37,-104.39,543.7,104.41,24.077,0.0048724,24.077,18.702,2.1807,28.61,-80.598,0.063587,0,-0.0043895,3.48E-05,103.53,32.318,0.16844,0,0.038371,3.76E-04,87.254,0.020595
