Time(s),Altitude(ft),p,q,r,phi,theta,psi,Vertical Velocity(ft/s)
0.37512891,-20.29603467,0,-1.31E-16,0,0,90,0,-119.5782004
0.380130629,-20.90395962,0,-1.37E-16,0,0,90,0,-121.58499
0.385132348,-21.52196472,0,-1.43E-16,0,0,90,0,-123.6010206
0.390134067,-22.15009617,0,-1.49E-16,0,0,90,0,-125.6262896
0.395135785,-22.78840014,0,-1.55E-16,0,0,90,0,-127.6607945
0.400137504,-23.4369228,0,-1.61E-16,0,0,90,0,-129.7045324
0.405139223,-24.09569809,0,-1.68E-16,0,0,90,0,-131.7550579
0.410140942,-24.76473981,0,-1.74E-16,0,0,90,0,-133.8083446
0.415142661,-25.44405385,0,-1.81E-16,0,0,90,0,-135.8628069
0.42014438,-26.13364604,0,-1.88E-16,0,0,90,0,-137.9184383
0.425146098,-26.8335222,0,-1.95E-16,0,0,90,0,-139.9752323
0.430147817,-27.54368811,0,-2.02E-16,0,0,90,0,-142.0331823
0.435149536,-28.26414952,0,-2.10E-16,0,0,90,0,-144.0922818
0.440151255,-28.99491214,0,-2.17E-16,0,0,90,0,-146.1525242
0.445152974,-29.73598166,0,-2.25E-16,0,0,90,0,-148.213903
0.450154692,-30.48736372,0,-2.33E-16,0,0,90,0,-150.2764116
0.455156411,-31.24906393,0,-2.41E-16,0,0,90,0,-152.3400434
0.46015813,-32.02108789,0,-2.50E-16,0,0,90,0,-154.4047917
0.465159849,-32.80344114,0,-2.58E-16,0,0,90,0,-156.4706498
0.470161568,-33.5961292,0,-2.67E-16,0,0,90,0,-158.5376113
0.475163286,-34.39915754,0,-2.76E-16,0,0,90,0,-160.6056693
0.480165005,-35.21253163,0,-2.85E-16,0,0,90,0,-162.6748171
0.485166724,-36.03625687,0,-2.94E-16,0,0,90,0,-164.7450482
0.490168443,-36.87033865,0,-3.04E-16,0,0,90,0,-166.8163556
0.495170162,-37.71478231,0,-3.13E-16,0,0,90,0,-168.8887328
0.50017188,-38.56959318,0,-3.23E-16,0,0,90,0,-170.962173
0.505173599,-39.43477652,0,-3.33E-16,0,0,90,0,-173.0366693
0.510175318,-40.3103376,0,-3.43E-16,0,0,90,0,-175.112215
0.515177037,-41.19628162,0,-3.53E-16,0,0,90,0,-177.1888034
0.520178756,-42.09261375,0,-3.63E-16,0,0,90,0,-179.2664275
0.525180474,-42.99933916,0,-3.74E-16,0,0,90,0,-181.3450805
0.530182193,-43.91646294,0,-3.85E-16,0,0,90,0,-183.4247557
0.535183912,-44.84399017,0,-3.96E-16,0,0,90,0,-185.5054461
0.540185631,-45.78192589,0,-4.07E-16,0,0,90,0,-187.5871449
0.54518735,-46.73027512,0,-4.18E-16,0,0,90,0,-189.6698451
0.550189068,-47.68904281,0,-4.29E-16,0,0,90,0,-191.7535399
0.555190787,-48.65823393,0,-4.41E-16,0,0,90,0,-193.8382223
0.560192506,-49.63785335,0,-4.52E-16,0,0,90,0,-195.9238854
0.565194225,-50.62790597,0,-4.64E-16,0,0,90,0,-198.0105223
0.570195944,-51.62839659,0,-4.76E-16,0,0,90,0,-200.098126
0.575197662,-52.63933004,0,-4.88E-16,0,0,90,0,-202.1866894
0.580199381,-53.66071107,0,-5.01E-16,0,0,90,0,-204.2762057
0.5852011,-54.69254441,0,-5.13E-16,0,0,90,0,-206.3666677
0.590202819,-55.73483475,0,-5.25E-16,0,0,90,0,-208.4580685
0.595204538,-56.78758676,0,-5.38E-16,0,0,90,0,-210.550401
0.600206256,-57.85080505,0,-5.51E-16,0,0,90,0,-212.6436582
0.605207975,-58.92449421,0,-5.63E-16,0,0,90,0,-214.737833
0.610209694,-60.0086588,0,-5.76E-16,0,0,90,0,-216.8329183
0.615211413,-61.10330334,0,-5.89E-16,0,0,90,0,-218.928907
0.620213132,-62.2084323,0,-6.03E-16,0,0,90,0,-221.025792
0.62521485,-63.32405013,0,-6.16E-16,0,0,90,0,-223.1235662
0.630216569,-64.45016124,0,-6.29E-16,0,0,90,0,-225.2222224
0.635218288,-65.58677001,0,-6.42E-16,0,0,90,0,-227.3217535
0.640220007,-66.73388077,0,-6.56E-16,0,0,90,0,-229.4221523
0.645221726,-67.89149783,0,-6.69E-16,0,0,90,0,-231.5234117
0.650223444,-69.05962545,0,-6.83E-16,0,0,90,0,-233.6255244
0.655225163,-70.23826787,0,-6.97E-16,0,0,90,0,-235.7284833
0.660226882,-71.42742927,0,-7.10E-16,0,0,90,0,-237.8322811
0.665228601,-72.62711383,0,-7.24E-16,0,0,90,0,-239.9369106
0.67023032,-73.83732565,0,-7.38E-16,0,0,90,0,-242.0423645
0.675232039,-75.05806883,0,-7.51E-16,0,0,90,0,-244.1486356
0.680233757,-76.28934741,0,-7.65E-16,0,0,90,0,-246.2557166
0.685235476,-77.53116541,0,-7.79E-16,0,0,90,0,-248.3636002
0.690237195,-78.78352681,0,-7.92E-16,0,0,90,0,-250.4722792
0.695238914,-80.04643554,0,-8.06E-16,0,0,90,0,-252.5817461
0.700240633,-81.3198955,0,-8.20E-16,0,0,90,0,-254.6919938
0.705242351,-82.60391058,0,-8.33E-16,0,0,90,0,-256.8030148
0.71024407,-83.89848459,0,-8.47E-16,0,0,90,0,-258.9148018
0.715245789,-85.20362133,0,-8.60E-16,0,0,90,0,-261.0273475
0.720247508,-86.51932455,0,-8.74E-16,0,0,90,0,-263.1406444
0.725249227,-87.84559797,0,-8.87E-16,0,0,90,0,-265.2546852
0.730250945,-89.18244529,0,-9.00E-16,0,0,90,0,-267.3694625
0.735252664,-90.52987013,0,-9.13E-16,0,0,90,0,-269.4849689
0.740254383,-91.88787612,0,-9.26E-16,0,0,90,0,-271.601197
0.745256102,-93.25646681,0,-9.39E-16,0,0,90,0,-273.7181392
0.750257821,-94.63564575,0,-9.52E-16,0,0,90,0,-275.8357883
0.755259539,-96.02541644,0,-9.65E-16,0,0,90,0,-277.9541367
0.760261258,-97.42578232,0,-9.77E-16,0,0,90,0,-280.0731769
0.765262977,-98.83674683,0,-9.89E-16,0,0,90,0,-282.1929016
0.770264696,-100.2583133,0,-1.00E-15,0,0,90,0,-284.3133031
0.775266415,-101.6904852,0,-1.01E-15,0,0,90,0,-286.434374
0.780268133,-103.1332657,0,-1.02E-15,0,0,90,0,-288.5561068
0.785269852,-104.5866582,0,-1.04E-15,0,0,90,0,-290.6784939
0.790271571,-106.0506659,0,-1.05E-15,0,0,90,0,-292.8015278
0.79527329,-107.5252919,0,-1.06E-15,0,0,90,0,-294.925201
0.800275009,-109.0105394,0,-1.07E-15,0,0,90,0,-297.049506
0.805276727,-110.5064116,0,-1.08E-15,0,0,90,0,-299.174435
0.810278446,-112.0129115,0,-1.09E-15,0,0,90,0,-301.2999807
0.815280165,-113.5300421,0,-1.10E-15,0,0,90,0,-303.4261353
0.820281884,-115.0578066,0,-1.11E-15,0,0,90,0,-305.5528913
0.825283603,-116.5962078,0,-1.12E-15,0,0,90,0,-307.6802411
0.830285321,-118.1452487,0,-1.13E-15,0,0,90,0,-309.8081771
0.83528704,-119.7049322,0,-1.13E-15,0,0,90,0,-311.9366916
0.840288759,-121.275261,0,-1.14E-15,0,0,90,0,-314.0657769
0.845290478,-122.8562382,0,-1.15E-15,0,0,90,0,-316.1954256
0.850292197,-124.4478663,0,-1.16E-15,0,0,90,0,-318.3256298
0.855293915,-126.0501482,0,-1.16E-15,0,0,90,0,-320.4563819
0.860295634,-127.6630866,0,-1.17E-15,0,0,90,0,-322.5876742
0.865297353,-129.2866841,0,-1.17E-15,0,0,90,0,-324.7194991
0.870299072,-130.9209433,0,-1.18E-15,0,0,90,0,-326.8518489
0.875300791,-132.5658669,0,-1.18E-15,0,0,90,0,-328.9847158
0.880302509,-134.2214574,0,-1.19E-15,0,0,90,0,-331.1180922
0.885304228,-135.8877172,0,-1.19E-15,0,0,90,0,-333.2519702
0.890305947,-137.5646489,0,-1.19E-15,0,0,90,0,-335.3863423
0.895307666,-139.2522549,0,-1.20E-15,0,0,90,0,-337.5212006
0.900309385,-140.9505376,0,-1.20E-15,0,0,90,0,-339.6565374
0.905311103,-142.6594973,0,-1.20E-15,0,0,90,0,-341.7919424
0.910312822,-144.3791312,0,-1.20E-15,0,0,90,0,-343.9267806
0.915314541,-146.1094353,0,-1.20E-15,0,0,90,0,-346.0608193
0.92031626,-147.8504056,0,-1.20E-15,0,0,90,0,-348.1940507
0.925317979,-149.6020379,0,-1.20E-15,0,0,90,0,-350.3264669
0.930319697,-151.3643282,0,-1.20E-15,0,0,90,0,-352.45806
0.935321416,-153.1372723,0,-1.19E-15,0,0,90,0,-354.5888222
0.940323135,-154.9208661,0,-1.19E-15,0,0,90,0,-356.7187456
0.945324854,-156.7151052,0,-1.19E-15,0,0,90,0,-358.8478224
0.950326573,-158.5199854,0,-1.18E-15,0,0,90,0,-360.9760448
0.955328292,-160.3355024,0,-1.18E-15,0,0,90,0,-363.1034049
0.96033001,-162.1616519,0,-1.17E-15,0,0,90,0,-365.229895
0.965331729,-163.9984294,0,-1.17E-15,0,0,90,0,-367.3555071
0.970333448,-165.8458306,0,-1.16E-15,0,0,90,0,-369.4802336
0.975335167,-167.7038509,0,-1.15E-15,0,0,90,0,-371.6040666
0.980336886,-169.5724859,0,-1.14E-15,0,0,90,0,-373.7269982
0.985338604,-171.451731,0,-1.13E-15,0,0,90,0,-375.8490208
0.990340323,-173.3415817,0,-1.12E-15,0,0,90,0,-377.9701266
0.995342042,-175.2420332,0,-1.11E-15,0,0,90,0,-380.0903077
1.000343761,-177.153081,0,-1.10E-15,0,0,90,0,-382.2095564
1.00534548,-179.0747203,0,-1.09E-15,0,0,90,0,-384.3278649
1.010347198,-181.0069464,0,-1.07E-15,0,0,90,0,-386.4452256
1.015348917,-182.9497546,0,-1.06E-15,0,0,90,0,-388.5616306
1.020350636,-184.90314,0,-1.05E-15,0,0,90,0,-390.6770722
1.025352355,-186.8670977,0,-1.03E-15,0,0,90,0,-392.7915428
1.030354074,-188.8416228,0,-1.01E-15,0,0,90,0,-394.9050345
1.035355792,-190.8267105,0,-9.97E-16,0,0,90,0,-397.0175397
1.040357511,-192.8223558,0,-9.79E-16,0,0,90,0,-399.1290506
1.04535923,-194.8285536,0,-9.61E-16,0,0,90,0,-401.2395597
1.050360949,-196.8452989,0,-9.42E-16,0,0,90,0,-403.3490591
1.055362668,-198.8725866,0,-9.22E-16,0,0,90,0,-405.4575412
1.060364386,-200.9104116,0,-9.01E-16,0,0,90,0,-407.5649984
1.065366105,-202.9587687,0,-8.80E-16,0,0,90,0,-409.6714229
1.070367824,-205.0176527,0,-8.58E-16,0,0,90,0,-411.7768072
1.075369543,-207.0870585,0,-8.36E-16,0,0,90,0,-413.8811435
1.080371262,-209.1669806,0,-8.13E-16,0,0,90,0,-415.9844244
1.08537298,-211.2574138,0,-7.89E-16,0,0,90,0,-418.086642
1.090374699,-213.3583527,0,-7.64E-16,0,0,90,0,-420.1877889
1.095376418,-215.469792,0,-7.39E-16,0,0,90,0,-422.2878574
1.100378137,-217.5917262,0,-7.14E-16,0,0,90,0,-424.3868399
1.105379856,-219.7241277,0,-6.87E-16,0,0,90,0,-426.4803024
1.110381574,-221.8669351,0,-6.61E-16,0,0,90,0,-428.5614842
1.115383293,-224.0200754,0,-6.33E-16,0,0,90,0,-430.6280508
1.120385012,-226.1834754,0,-6.06E-16,0,0,90,0,-432.6799957
1.125386731,-228.3570619,0,-5.77E-16,0,0,90,0,-434.7173127
1.13038845,-230.5407619,0,-5.49E-16,0,0,90,0,-436.7399956
1.135390168,-232.7345021,0,-5.20E-16,0,0,90,0,-438.7480383
1.140391887,-234.9382093,0,-4.90E-16,0,0,90,0,-440.7414349
1.145393606,-237.1518102,0,-4.60E-16,0,0,90,0,-442.7201798
1.150395325,-239.3752315,0,-4.30E-16,0,0,90,0,-444.6842673
1.155397044,-241.6084,0,-4.00E-16,0,0,90,0,-446.633692
1.160398762,-243.8512422,0,-3.69E-16,0,0,90,0,-448.5684487
1.165400481,-246.1036849,0,-3.38E-16,0,0,90,0,-450.4885321
1.1704022,-248.3656546,0,-3.07E-16,0,0,90,0,-452.3939374
1.175403919,-250.6370779,0,-2.76E-16,0,0,90,0,-454.2846596
1.180405638,-252.9178813,0,-2.45E-16,0,0,90,0,-456.1606942
1.185407356,-255.2079915,0,-2.13E-16,0,0,90,0,-458.0220364
1.190409075,-257.5073349,0,-1.82E-16,0,0,90,0,-459.868682
1.195410794,-259.8158381,0,-1.50E-16,0,0,90,0,-461.7006267
1.200412513,-262.1334274,0,-1.19E-16,0,0,90,0,-463.5178662
1.205414232,-264.4600294,0,-8.77E-17,0,0,90,0,-465.3203968
1.21041595,-266.7955705,0,-5.66E-17,0,0,90,0,-467.1082144
1.215417669,-269.139977,0,-2.57E-17,0,0,90,0,-468.8813154
1.220419388,-271.4931755,0,5.01E-18,0,0,90,0,-470.6396962
1.225421107,-273.8550923,0,3.54E-17,0,0,90,0,-472.3833534
1.230422826,-276.2256537,0,6.56E-17,0,0,90,0,-474.1122836
1.235424545,-278.6047861,0,9.53E-17,0,0,90,0,-475.8264838
1.240426263,-280.9924159,0,1.25E-16,0,0,90,0,-477.5259508
1.245427982,-283.3884693,0,1.54E-16,0,0,90,0,-479.2106818
1.250429701,-285.7928726,0,1.82E-16,0,0,90,0,-480.880674
1.25543142,-288.2055523,0,2.10E-16,0,0,90,0,-482.5359247
1.260433139,-290.6264344,0,2.37E-16,0,0,90,0,-484.1764314
1.265434857,-293.0554454,0,2.64E-16,0,0,90,0,-485.8021918
1.270436576,-295.4925114,0,2.90E-16,0,0,90,0,-487.4132035
1.275438295,-297.9375587,0,3.15E-16,0,0,90,0,-489.0094644
1.280440014,-300.3905136,0,3.40E-16,0,0,90,0,-490.5909726
1.285441733,-302.8513022,0,3.63E-16,0,0,90,0,-492.157726
1.290443451,-305.3198508,0,3.86E-16,0,0,90,0,-493.709723
1.29544517,-307.7960856,0,4.08E-16,0,0,90,0,-495.246962
1.300446889,-310.2799329,0,4.29E-16,0,0,90,0,-496.7694413
1.305448608,-312.7713186,0,4.49E-16,0,0,90,0,-498.2771595
1.310450327,-315.2701692,0,4.68E-16,0,0,90,0,-499.7701154
1.315452045,-317.7764108,0,4.87E-16,0,0,90,0,-501.2483079
1.320453764,-320.2899694,0,5.04E-16,0,0,90,0,-502.7117357
1.325455483,-322.8107714,0,5.19E-16,0,0,90,0,-504.1603981
1.330457202,-325.3387429,0,5.34E-16,0,0,90,0,-505.5942941
1.335458921,-327.87381,0,5.48E-16,0,0,90,0,-507.0134231
1.340460639,-330.4158989,0,5.60E-16,0,0,90,0,-508.4177843
1.345462358,-332.9649358,0,5.72E-16,0,0,90,0,-509.8073775
1.350464077,-335.5208468,0,5.82E-16,0,0,90,0,-511.1822021
1.355465796,-338.0835581,0,5.90E-16,0,0,90,0,-512.5422578
1.360467515,-340.6529959,0,5.98E-16,0,0,90,0,-513.8875445
1.365469233,-343.2290862,0,6.04E-16,0,0,90,0,-515.2180622
1.370470952,-345.8117552,0,6.09E-16,0,0,90,0,-516.5338108
1.375472671,-348.4009292,0,6.12E-16,0,0,90,0,-517.8347906
1.38047439,-350.9965342,0,6.14E-16,0,0,90,0,-519.1210016
1.385476109,-353.5984964,0,6.15E-16,0,0,90,0,-520.3924444
1.390477827,-356.206742,0,6.14E-16,0,0,90,0,-521.6491193
1.395479546,-358.8211971,0,6.12E-16,0,0,90,0,-522.8910269
1.400481265,-361.441788,0,6.09E-16,0,0,90,0,-524.1181678
1.405482984,-364.0684407,0,6.04E-16,0,0,90,0,-525.3305428
1.410484703,-366.7010814,0,5.98E-16,0,0,90,0,-526.5281526
1.415486421,-369.3396364,0,5.91E-16,0,0,90,0,-527.7109983
1.42048814,-371.9840318,0,5.82E-16,0,0,90,0,-528.8790808
1.425489859,-374.6341938,0,5.71E-16,0,0,90,0,-530.0324013
1.430491578,-377.2900487,0,5.60E-16,0,0,90,0,-531.170961
1.435493297,-379.9515225,0,5.47E-16,0,0,90,0,-532.2947611
1.440495015,-382.6185415,0,5.33E-16,0,0,90,0,-533.4038031
1.445496734,-385.2910319,0,5.17E-16,0,0,90,0,-534.4980884
1.450498453,-387.96892,0,5.01E-16,0,0,90,0,-535.5776186
1.455500172,-390.652132,0,4.83E-16,0,0,90,0,-536.6423953
1.460501891,-393.3405941,0,4.64E-16,0,0,90,0,-537.6924202
1.465503609,-396.0342326,0,4.43E-16,0,0,90,0,-538.7276953
1.470505328,-398.7329737,0,4.22E-16,0,0,90,0,-539.7482223
1.475507047,-401.4367437,0,3.99E-16,0,0,90,0,-540.7540033
1.480508766,-404.1454689,0,3.75E-16,0,0,90,0,-541.7450402
1.485510485,-406.8590756,0,3.51E-16,0,0,90,0,-542.7213354
1.490512204,-409.57749,0,3.25E-16,0,0,90,0,-543.6828908
1.495513922,-412.3006386,0,2.98E-16,0,0,90,0,-544.6297089
1.500515641,-415.0284475,0,2.71E-16,0,0,90,0,-545.561792
1.50551736,-417.7608432,0,2.42E-16,0,0,90,0,-546.4791426
1.510519079,-420.4977521,0,2.13E-16,0,0,90,0,-547.3817631
1.515520798,-423.2391003,0,1.83E-16,0,0,90,0,-548.2696562
1.520522516,-425.9848145,0,1.52E-16,0,0,90,0,-549.1428245
1.525524235,-428.7348208,0,1.21E-16,0,0,90,0,-550.0012707
1.530525954,-431.4890458,0,8.91E-17,0,0,90,0,-550.8449976
1.535527673,-434.2474158,0,5.67E-17,0,0,90,0,-551.6740082
1.540529392,-437.0098574,0,2.38E-17,0,0,90,0,-552.4883052
1.54553111,-439.7762968,0,-9.41E-18,0,0,90,0,-553.2878917
1.550532829,-442.5466227,0,-4.30E-17,0,0,90,0,-554.0651735
1.555534548,-445.320607,0,-7.69E-17,0,0,90,0,-554.7968564
1.560536267,-448.0979432,0,-1.11E-16,0,0,90,0,-555.4672528
1.565537986,-450.8783251,0,-1.45E-16,0,0,90,0,-556.0763798
1.570539704,-453.6614464,0,-1.79E-16,0,0,90,0,-556.6242545
1.575541423,-456.4470009,0,-2.14E-16,0,0,90,0,-557.1108942
1.580543142,-459.2346825,0,-2.48E-16,0,0,90,0,-557.5363165
1.585544861,-462.0241852,0,-2.82E-16,0,0,90,0,-557.9005391
1.59054658,-464.8152031,0,-3.16E-16,0,0,90,0,-558.2035798
1.595548298,-467.6074303,0,-3.49E-16,0,0,90,0,-558.4454564
1.600550017,-470.4005613,0,-3.82E-16,0,0,90,0,-558.6261871
1.605551736,-473.1942902,0,-4.15E-16,0,0,90,0,-558.7457899
1.610553455,-475.9883116,0,-4.47E-16,0,0,90,0,-558.8042829
1.615555174,-478.7823201,0,-4.79E-16,0,0,90,0,-558.8016843
1.620556892,-481.5760101,0,-5.10E-16,0,0,90,0,-558.7380123
1.625558611,-484.3690766,0,-5.41E-16,0,0,90,0,-558.613285
1.63056033,-487.1612142,0,-5.70E-16,0,0,90,0,-558.4275206
1.635562049,-489.9521178,0,-5.99E-16,0,0,90,0,-558.1807371
1.640563768,-492.7414826,0,-6.27E-16,0,0,90,0,-557.8729526
1.645565486,-495.5290035,0,-6.54E-16,0,0,90,0,-557.504185
1.650567205,-498.3144268,0,-6.81E-16,0,0,90,0,-557.084655
1.655568924,-501.0976519,0,-7.06E-16,0,0,90,0,-556.6450219
1.660570643,-503.8786806,0,-7.30E-16,0,0,90,0,-556.2057294
1.665572362,-506.6575144,0,-7.53E-16,0,0,90,0,-555.7667773
1.67057408,-509.4341553,0,-7.75E-16,0,0,90,0,-555.3281651
1.675575799,-512.2086047,0,-7.96E-16,0,0,90,0,-554.8898922
1.680577518,-514.9808645,0,-8.16E-16,0,0,90,0,-554.4519584
1.685579237,-517.7509363,0,-8.34E-16,0,0,90,0,-554.014363
1.690580956,-520.5188219,0,-8.51E-16,0,0,90,0,-553.5771058
1.695582674,-523.2845228,0,-8.67E-16,0,0,90,0,-553.1401861
1.700584393,-526.0480387,0,-8.82E-16,0,0,90,0,-552.7031781
1.705586112,-528.8093693,0,-8.95E-16,0,0,90,0,-552.2661315
1.710587831,-531.568517,0,-9.07E-16,0,0,90,0,-551.8295212
1.71558955,-534.3254837,0,-9.17E-16,0,0,90,0,-551.3933465
1.720591268,-537.0802717,0,-9.26E-16,0,0,90,0,-550.9576065
1.725592987,-539.8328832,0,-9.34E-16,0,0,90,0,-550.5223006
1.730594706,-542.5833204,0,-9.40E-16,0,0,90,0,-550.0874279
1.735596425,-545.3315853,0,-9.45E-16,0,0,90,0,-549.6529877
1.740598144,-548.0776802,0,-9.49E-16,0,0,90,0,-549.2189792
1.745599862,-550.8216072,0,-9.51E-16,0,0,90,0,-548.7854016
1.750601581,-553.5633685,0,-9.52E-16,0,0,90,0,-548.3522541
1.7556033,-556.3029662,0,-9.51E-16,0,0,90,0,-547.9195361
1.760605019,-559.0404024,0,-9.49E-16,0,0,90,0,-547.4872467
1.765606738,-561.7756793,0,-9.46E-16,0,0,90,0,-547.0553851
1.770608457,-564.5087991,0,-9.41E-16,0,0,90,0,-546.6239506
