time,altitude,vertical velocity,vertical acceleration,mass,drag cd
5.01049282,761.58009117,86.86945542,-19.32094692,513.26497918,0.5800749
5.06049282,765.89950359,85.90884697,-19.10425632,513.26497918,0.57988111
5.11049282,770.17115433,84.95894616,-18.89261774,513.26497918,0.57969156
5.16049282,774.39557252,84.01950413,-18.68588084,513.26497918,0.57950616
5.21049282,778.57327503,83.09027945,-18.48389949,513.26497918,0.57932477
5.26049282,782.70476685,82.17103783,-18.28653394,513.26497918,0.57914729
5.31049282,786.79054141,81.26155185,-18.0936523,513.26497918,0.57897362
5.36049282,790.83108095,80.36160056,-17.90512593,513.26497918,0.57880364
5.41049282,794.8268568,79.47096922,-17.72083395,513.26497918,0.57863727
5.46049282,798.77832973,78.58944916,-17.54065596,513.26497918,0.57847441
5.51049282,802.68595019,77.71683754,-17.36447653,513.26497918,0.57831495
5.56049282,806.55015867,76.85293725,-17.19218462,513.26497918,0.57815883
5.61049282,810.37138591,75.99755663,-17.02367169,513.26497918,0.57800594
5.66049282,814.15005322,75.15050925,-16.85883811,513.26497918,0.57785621
5.71049282,817.8865727,74.31161367,-16.69758355,513.26497918,0.57770956
5.76049282,821.58134751,73.48069329,-16.53981452,513.26497918,0.5775659
5.81049282,825.23477209,72.6575762,-16.38543728,513.26497918,0.57742517
5.86049282,828.8472324,71.84209504,-16.23436206,513.26497918,0.57728729
5.91049282,832.41910614,71.0340869,-16.08650265,513.26497918,0.57715219
5.96049282,835.95076299,70.23339307,-15.94177585,513.26497918,0.57701981
6.01049282,839.44256478,69.43985897,-15.80010085,513.26497918,0.57689007
6.06049282,842.89486571,68.65333391,-15.66140135,513.26497918,0.57676292
6.11049282,846.30801254,67.87367094,-15.52560453,513.26497918,0.5766383
6.16049282,849.68234479,67.10072684,-15.39263516,513.26497918,0.57651613
6.21049282,853.01819488,66.33436199,-15.26242301,513.26497918,0.57639638
6.26049282,856.31588837,65.57444021,-15.13490069,513.26497918,0.57627897
6.31049282,859.57574407,64.82082867,-15.01000273,513.26497918,0.57616387
6.36049282,862.79807425,64.07339772,-14.88766624,513.26497918,0.57605101
6.41049282,865.98318475,63.33202085,-14.7678301,513.26497918,0.57594034
6.46049282,869.13137518,62.59657454,-14.65043403,513.26497918,0.57583182
6.51049282,872.24293904,61.86693822,-14.53542034,513.26497918,0.57572539
6.56049282,875.31816387,61.14299416,-14.42273391,513.26497918,0.57562102
6.61049282,878.35733141,60.42462737,-14.31232129,513.26497918,0.57551865
6.66049282,881.3607177,59.71172551,-14.20412891,513.26497918,0.57541825
6.71049282,884.32859322,59.00417876,-14.09810717,513.26497918,0.57531977
6.76049282,887.26122304,58.30187987,-13.99420711,513.26497918,0.57522317
6.81049282,890.15886692,57.60472393,-13.89238061,513.26497918,0.57512841
6.86049282,893.02177944,56.91260845,-13.79258172,513.26497918,0.57503545
6.91049282,895.8502101,56.22543315,-13.69476589,513.26497918,0.57494426
6.96049282,898.64440346,55.54309996,-13.59889002,513.26497918,0.5748548
7.01049282,901.40459921,54.86551295,-13.5049117,513.26497918,0.57476703
7.06049282,904.1310323,54.19257825,-13.4127906,513.26497918,0.57468092
7.11049282,906.82393304,53.52420402,-13.32248661,513.26497918,0.57459644
7.16049282,909.48352721,52.86030033,-13.23396231,513.26497918,0.57451355
7.21049282,912.11003612,52.20077916,-13.14718009,513.26497918,0.57443223
7.26049282,914.70367673,51.54555432,-13.06210339,513.26497918,0.57435244
7.31049282,917.26466175,50.8945414,-12.97869715,513.26497918,0.57427415
7.36049282,919.7931997,50.24765773,-12.89692734,513.26497918,0.57419734
7.41049282,922.289495,49.60482232,-12.81676152,513.26497918,0.57412197
7.46049282,924.75374808,48.96595578,-12.73816717,513.26497918,0.57404802
7.51049282,927.18615543,48.3309803,-12.66111361,513.26497918,0.57397547
7.56049282,929.58690969,47.69981961,-12.58557072,513.26497918,0.57390428
7.61049282,931.95619972,47.07239892,-12.51150867,513.26497918,0.57383444
7.66049282,934.29421069,46.44864491,-12.4388988,513.26497918,0.57376592
7.71049282,936.60112413,45.82848566,-12.36771356,513.26497918,0.57369869
7.76049282,938.877118,45.21185063,-12.29792554,513.26497918,0.57363273
7.81049282,941.12236678,44.59867061,-12.22950871,513.26497918,0.57356802
7.86049282,943.33704151,43.98887768,-12.16243764,513.26497918,0.57350454
7.91049282,945.52130989,43.38240517,-12.09668765,513.26497918,0.57344226
7.96049282,947.67533628,42.77918764,-12.03223463,513.26497918,0.57338118
8.01049282,949.79928183,42.17916081,-11.96905545,513.26497918,0.57332126
8.06049282,951.89330449,41.58226157,-11.90712732,513.26497918,0.57326248
8.11049282,953.95755908,40.98842792,-11.84642832,513.26497918,0.57320484
8.16049282,955.99219736,40.39759894,-11.78693687,513.26497918,0.5731483
8.21049282,957.99736806,39.80971477,-11.72863202,513.26497918,0.57309286
8.26049282,959.97321694,39.22471661,-11.67149365,513.26497918,0.57303849
8.31049282,961.91988686,38.64254662,-11.61550161,513.26497918,0.57298518
8.36049282,963.8375178,38.06314796,-11.56063717,513.26497918,0.57293291
8.41049282,965.72624691,37.48646473,-11.50688108,513.26497918,0.57288166
8.46049282,967.58620861,36.91244197,-11.45421559,513.26497918,0.57283143
8.51049282,969.41753455,36.34102559,-11.4026227,513.26497918,0.57278219
8.56049282,971.22035373,35.7721624,-11.35208524,513.26497918,0.57273392
8.61049282,972.99479248,35.20580004,-11.30258642,513.26497918,0.57268663
8.66049282,974.74097455,34.64188699,-11.25411018,513.26497918,0.57264028
8.71049282,976.45902115,34.08037252,-11.20664078,513.26497918,0.57259487
8.76049282,978.14905095,33.52120666,-11.16016284,513.26497918,0.57255039
8.81049282,979.81118014,32.96434022,-11.11466159,513.26497918,0.57250681
8.86049282,981.44552249,32.40972472,-11.07012253,513.26497918,0.57246414
8.91049282,983.05218934,31.85731243,-11.02653147,513.26497918,0.57242235
8.96049282,984.63128967,31.30705626,-10.98387458,513.26497918,0.57238144
9.01049282,986.18293013,30.75890987,-10.94213851,513.26497918,0.57234139
9.06049282,987.70721506,30.21282753,-10.90131024,513.26497918,0.57230219
9.11049282,989.20424653,29.66876417,-10.861377,513.26497918,0.57226383
9.16049282,990.67412439,29.12667535,-10.8223266,513.26497918,0.5722263
9.21049282,992.11694625,28.58651723,-10.7841473,513.26497918,0.57218959
9.26049282,993.53280757,28.04824655,-10.74682658,513.26497918,0.57215369
9.31049282,994.92180165,27.51182066,-10.71035407,513.26497918,0.57211859
9.36049282,996.28401968,26.97719742,-10.67471861,513.26497918,0.57208428
9.41049282,997.61955075,26.44433525,-10.63990938,513.26497918,0.57205076
9.46049282,998.92848187,25.9131931,-10.60591615,513.26497918,0.572018
9.51049282,1000.21089805,25.3837304,-10.57272985,513.26497918,0.57198601
9.56049282,1001.46688223,24.85590694,-10.54034436,513.26497918,0.57195477
9.61049282,1002.6965154,24.32968307,-10.508745,513.26497918,0.57192428
9.66049282,1003.89987655,23.80501969,-10.47792256,513.26497918,0.57189453
9.71049282,1005.07704274,23.2818782,-10.44786825,513.26497918,0.5718655
9.76049282,1006.2280891,22.7602204,-10.41857337,513.26497918,0.5718372
9.81049282,1007.35308888,22.24000853,-10.39002955,513.26497918,0.57180962
9.86049282,1008.45211343,21.72120524,-10.36222863,513.26497918,0.57178274
9.91049282,1009.52523226,21.20377359,-10.33516274,513.26497918,0.57175657
9.96049282,1010.57251304,20.68767702,-10.3088242,513.26497918,0.57173109
10.01049282,1011.59402161,20.17287934,-10.28320559,513.26497918,0.5717063
10.06049282,1012.58982203,19.65934474,-10.25829975,513.26497918,0.57168219
10.11049282,1013.55997655,19.14703776,-10.23409974,513.26497918,0.57165876
10.16049282,1014.50454568,18.63592327,-10.21059884,513.26497918,0.571636
10.21049282,1015.42358817,18.12596648,-10.18779054,513.26497918,0.5716139
10.26049282,1016.31716105,17.61713293,-10.16566855,513.26497918,0.57159246
10.31049282,1017.18531962,17.10938843,-10.1442268,513.26497918,0.57157168
10.36049282,1018.02811748,16.60269915,-10.12345943,513.26497918,0.57155154
10.41049282,1018.84560656,16.09703148,-10.10336078,513.26497918,0.57153204
10.46049282,1019.6378371,15.59235215,-10.08392538,513.26497918,0.57151319
10.51049282,1020.4048577,15.08862811,-10.06514796,513.26497918,0.57149497
10.56049282,1021.14671529,14.58582659,-10.04702346,513.26497918,0.57147738
10.61049282,1021.86345519,14.08391508,-10.02954702,513.26497918,0.57146041
10.66049282,1022.55512109,13.58286128,-10.01271394,513.26497918,0.57144406
10.71049282,1023.22175508,13.08263315,-9.9965197,513.26497918,0.57142834
10.76049282,1023.86339762,12.58319325,-9.98152736,513.26497918,0.57310238
10.81049282,1024.48008623,12.08446745,-9.96759174,513.26497918,0.57644337
10.86049282,1025.07185576,11.58642565,-9.95416725,513.26497918,0.57996701
10.91049282,1025.63873977,11.08904232,-9.94125303,513.26497918,0.58369205
10.96049282,1026.18077055,10.59229195,-9.92884859,513.26497918,0.58764011
11.01049282,1026.69797909,10.09614906,-9.91695365,513.26497918,0.59183627
11.06049282,1027.19039515,9.60058817,-9.9055682,513.26497918,0.59630988
11.11049282,1027.65804719,9.10558382,-9.89469247,513.26497918,0.60109552
